category_id,name
0,소설/시/희곡
1,인문학
2,과학
3,역사
4,청소년
5,사회과학
6,에세이
7,한국소설
8,2000년대 이후 한국소설
9,예술/대중문화
10,교양 인문학
11,영미소설
12,경제경영
13,자기계발
14,대학교재/전문서적
15,기초과학/교양과학
16,시
17,한국에세이
18,청소년 문학
19,한국시
20,청소년 수학/과학
21,미술
22,청소년 소설
23,조선사
24,생명과학
25,프랑스소설
26,서양철학
27,심리학/정신분석학
28,문화/문화이론
29,외국에세이
30,수학
31,2000년대 이전 한국소설
32,청소년 인문/사회
33,역사소설
34,경제학/경제일반
35,세계의 소설
36,추리/미스터리소설
37,일본소설
38,물리학
39,성공
40,사회문제
41,교양 심리학
42,사회학
43,성공학
44,과학소설(SF)
45,세계사 일반
46,1950년대 이후 일본소설
47,어린이
48,한국근현대사
49,서양사
50,청소년 고전
51,책읽기/글쓰기
52,한국 역사소설
53,문학의 이해
54,여행
55,독일소설
56,사회사상/사회사상사
57,명사에세이
58,종교/역학
59,사회학 일반
60,미술 이야기
61,외국 과학소설
62,과학의 이해
63,외국어
64,우리나라 옛글
65,동물과 식물
66,정치학/외교학/행정학
67,중국사
68,동양철학
69,산문
70,자연과학계열
71,비평/칼럼
72,지리학
73,철학 일반
74,조선시대 일반
75,교양 철학
76,수학 일반
77,건강/취미
78,음악
79,한국고대~고려시대
80,지리학/지정학
81,사진/그림 에세이
82,인간관계
83,한국사 일반
84,한국학/한국문화
85,신화/종교학
86,컴퓨터/모바일
87,교육학
88,액션/스릴러소설
89,기업 경영
90,외국 액션/스릴러소설
91,스페인/중남미소설
92,고전
93,생물학
94,뇌과학
95,조선후기(영조~순종)
96,현대철학
97,경제사/경제전망
98,러시아소설
99,외국 역사소설
100,판타지/환상문학
101,글쓰기
102,천문학
103,미술가
104,뇌과학 일반
105,희곡
106,외국판타지/환상소설
107,물리학 일반
108,환경/생태문제
109,외국희곡
110,과학사/기술사
111,사회문제 일반
112,책읽기
113,사회사상/사회사상사 일반
114,한국사회비평/칼럼
115,교육 일반
116,경제이야기
117,영어독해
118,과학자의 생애
119,사회운동
120,한국고대사
121,건강정보
122,청소년 역사
123,한국문학론
124,어문학계열
125,화학
126,쉽게 배우는 수학
127,기타 명사에세이
128,한국전쟁 이후~현재
129,기타 국가 소설
130,일본 추리/미스터리소설
131,영미 추리/미스터리소설
132,근대철학
133,인문계열
134,인문 에세이
135,불교
136,건축
137,중국사 일반
138,지구과학
139,트렌드/미래전망
140,만화
141,세계 경제사/경제전망
142,협상/설득/화술
143,트렌드/미래전망 일반
144,기독교(개신교)
145,문화/역사기행
146,국어국문학
147,동물 일반
148,서양중세사
149,미술사
150,문인에세이
151,기타국가 추리/미스터리소설
152,일제치하/항일시대
153,인류학/고고학
154,기호학/언어학
155,아시아사
156,우주과학
157,환경문제
158,중국소설
159,사회과학계열
160,유럽사
161,외국시
162,쉽게 배우는 물리학
163,경영전략/혁신
164,공학계열
165,힐링
166,법과 생활
167,경제이론/경제사상
168,영화/드라마
169,고등학교참고서
170,조선중기(임진왜란~경종)
171,의약학간호계열
172,청소년의 진로선택
173,인류학
174,창의적사고/두뇌계발
175,마음 다스리기
176,한국 추리/미스터리소설
177,유교철학/주역
178,청소년 에세이/시
179,청소년 자기계발
180,문명/문명사
181,[경제경영 사상가 20인]
182,컴퓨터 공학
183,한국 과학소설
184,여성학/젠더
185,역사학
186,독서에세이
187,논술참고도서
188,의학
189,한국고대사 일반
190,한국문화유산
191,음악가
192,중국고대사(선사시대~진한시대)
193,공학
194,빈곤/불평등문제
195,마케팅/세일즈
196,청소년 철학
197,아메리카사
198,건강에세이/건강정보
199,예술/대중문화의 이해
200,사진
201,이탈리아소설
202,리더십
203,서양고대사
204,법률이야기/법조인이야기
205,이론 심리학
206,동유럽소설
207,초등 한국사
208,문화연구/문화이론
209,화술
210,인권문제
211,미래학
212,고려시대
213,마케팅/브랜드
214,한국 문화/역사기행
215,곤충
216,근대개화기
217,공자/논어
218,작가론
219,교양만화
220,국제사회비평/칼럼
221,방송연예인에세이
222,사회/역사/철학
223,좋은부모
224,한국민속/한국전통문화
225,건축이야기/건축가
226,연극
227,살림지식총서
228,로마사
229,역사학 일반
230,정치학 일반
231,서양사일반
232,현대과학
233,북유럽소설
234,통일/북한관계
235,문화사
236,지구
237,문화/예술/인물
238,해방전후사/한국전쟁
239,세계패권과 국제질서
240,청소년 경제
241,테마로 보는 역사
242,민주주의
243,경영 일반
244,신화 이야기
245,서양음악(클래식)
246,기업/경영자 스토리
247,정치인
248,역사만화
249,천문학/별자리/역법
250,건축이론/비평/역사
251,쉽게 배우는 화학
252,프리드리히 니체
253,뇌과학/인지심리학
254,한국어/한문
255,각국정치사정/정치사
256,조선전기(개국~임진왜란 이전)
257,세계사
258,호러.공포소설
259,언어학/언어사
260,학습법
261,진화론
262,시간관리/정보관리
263,재테크/투자
264,논술/면접/수시
265,초등5~6학년
266,과학/수학/사회
267,근대철학 일반
268,과학/수학/컴퓨터
269,여행에세이
270,해외여행에세이
271,미국/캐나다사
272,아프리카소설
273,세계의 문학
274,양자역학
275,기상학/기후
