자료명,저자,출판사,출판년도,청구기호,ISBN,썸네일,책소개,카테고리
(캠벨) 생명과학. 2: 6~8단원,Neil A. Campbell 외 지음; 전상학 외 역,바이오사이언스,2022,470 캠44ㅅ전-12 v.2 c.2,9788970000000 
(캠벨) 생명과학. 2: 6~8단원,Neil A. Campbell 외 지음; 전상학 외 역,바이오사이언스,2022,470 캠44ㅅ전-12 v.2,9788970000000 
The giver,Lois Lowry,Houghton Mifflin Harcourt,1993,843 L921g,9780540000000 
Holes,Louis Sachar,Laurel leaf newbery,2023,843 L888h,9780440000000 
신을 죽인 여자들,클라우디아 피녜이로 지음; 엄지영 옮김,푸른숲,2023,873 피194ㅅ엄,9791160000000 
알파폴드: AI 신약개발 혁신,남궁석 지음,Biospectator (바이오스펙테이터),2024,518.44 남16ㅇ,9791190000000 
맨큐의 경제학,"N. Gregory Mankiw 지음; 김경환, 김종석 옮김",센게이지러닝코리아,2021,320.1 M278p9Kㄱ,9788960000000 
호빗,J.R.R. 톨킨 지음 ; 이미애 옮김,Arte(아르테),2021,843 톨878ㅎ,9788950000000 
반지의 제왕. 3: 왕의 귀환,"J.R.R. 톨킨 지음 ; 김보원, 김번, 이미애 옮김",Arte(아르테),2021,843 톨878ㅂ v.3,9788950000000 
반지의 제왕. 2: 두 개의 탑,"J.R.R. 톨킨 지음 ; 김보원, 김번, 이미애 옮김",Arte(아르테),2021,843 톨878ㅂ v.2,9788950000000 
반지의 제왕. 1: 반지원정대,"J.R.R. 톨킨 지음 ; 김보원, 김번, 이미애 옮김",Arte(아르테),2021,843 톨878ㅂ v.1,9788950000000 
찬란한 멸종,이정모 지음,다산북스,2024,476.7 이74ㅊ,9791130000000 
(내 몸 안의 숨겨진 비밀) 해부학,사카이 다츠오 지음; 윤혜림 옮김,전나무숲,2019,511.4 사872ㅎ윤,9791190000000 
보건의료통계학,정상진; 박일순 지음,보문각,2022,517.073 정52ㅂ,9788960000000 
패널데이터와 복합표본을 활용한 한번에 적용하는 의학보건통계,히든 그레이스 데이터분석팀 지음,한빛아카데미,2023,517.073 히27ㅍ,9791160000000 
일반화학실험,권찬호 [외] 지음,자유아카데미,2022,432 권82ㅇ,9791160000000 
삶은 그렇게 납작하지 않아요,김나리 지음,ㅊㄴㅁ(책나물),2024,818 김192ㅅ,9791190000000 
삶의 발명,정혜윤 지음,위고,2023,814.6 정94ㅅ,9791190000000 
"인구 감소, 부의 대전환",전영수 지음,21세기북스,2024,331.32 전64ㅇ,9791170000000 
다중물리 3차원 해석,이승배; 이철희 공지음,Yas (야스),2024,429 이57ㄷ c.2,9791190000000 
과학을 보다. 2,김범준 [외] 지음; 김지원 그림,알파미디어,2024,400 김44ㄱ v.2,9791190000000 
(기초부터 탄탄하게) 처음 듣는 의대 강의,안승철 지음,궁리,2018,510.1 안57ㅊ,9788960000000 
의대를 꿈꾸는 대한민국의 천재들,이종훈 지음,한언,2020,510.4 이75ㅇ3,9788960000000 
생명의 물리학,찰스 S. 코켈 지음; 노승영 옮김,열린책들,2021,476 코874ㅅ노,9788930000000 
다중물리 3차원 해석,이승배; 이철희 공지음,Yas (야스),2024,429 이57ㄷ,9791190000000 
수학은 어떻게 문명을 만들었는가,마이클 브룩스 지음; 고유경 옮김,Bronstein,2022,410.9 브296ㅅ고,9791140000000 
화이트홀,카를로 로벨리 지음; 김정훈 옮김,쌤앤파커스,2024,443.887 로44ㅎ김,9791170000000 
처음 만나는 문화인류학,한국문화인류학회,일조각,2003,389 한16ㅊ c.6,9788930000000 
처음 만나는 문화인류학,한국문화인류학회,일조각,2003,389 한16ㅊ c.5,9788930000000 
처음 만나는 문화인류학,한국문화인류학회,일조각,2003,389 한16ㅊ c.2,9788930000000 
처음 만나는 문화인류학,한국문화인류학회,일조각,2003,389 한16ㅊ c.4,9788930000000 
처음 만나는 문화인류학,한국문화인류학회,일조각,2003,389 한16ㅊ c.3,9788930000000 
낯선 곳에서 나를 만나다,한국문화인류학회 엮음,일조각,2006,331.5 한16ㄴ c.6,9788930000000 
낯선 곳에서 나를 만나다,한국문화인류학회 엮음,일조각,2006,331.5 한16ㄴ c.5,9788930000000 
낯선 곳에서 나를 만나다,한국문화인류학회 엮음,일조각,2006,331.5 한16ㄴ c.4,9788930000000 
낯선 곳에서 나를 만나다,한국문화인류학회 엮음,일조각,2006,331.5 한16ㄴ c.3,9788930000000 
낯선 곳에서 나를 만나다,한국문화인류학회 엮음,일조각,2006,331.5 한16ㄴ c.2,9788930000000 
깨끗한 존경,이슬아 지음,헤엄출판사,2019,818 이57ㄲ,9791200000000 
어떤 비밀,최진영 지음,난다,2024,814.6 최78ㅇ,9791190000000 
까다롭게 좋아하는 사람,엄지혜 지음,마음산책,2024,818 엄78ㄲ,9788960000000 
한 사람의 노래가 온 거리에 노래를,신경림 외 지음,창비,2024,811.6 신14ㅎ,9788940000000 
아침은 생각한다,문태준 지음,창비,2022,811.6 문883ㅇ,9788940000000 
(내가 만난) 소년에 대하여,천종호 지음; 이희은 그림,우리학교,2021,360.04 천75ㅅ,9791190000000 
명랑한 은둔자,캐럴라인 냅 지음; 김명남 옮김,바다출판사,2020,844 냅873ㅁ김,9791190000000 
너무 잘하려고 애쓰지 마라,나태주 지음,열림원,2022,811.62 나883ㄴ,9791170000000 
"여성, 귀신이 되다",전혜진 지음,현암사,2021,388.111 전94ㅇ,9788930000000 
나비가면,박지웅 지음,문학동네,2021,811.6 박78ㄴ,9788950000000 
살 것만 같던 마음,이영광 지음,창비,2024,811.6 이64ㅅ,9788940000000 
이것은 농담에 가깝습니다,이명윤 지음,걷는사람,2024,811.6 이34이,9791190000000 
빛 속에서 이룰 수 없는 일은 얼마나 많았던가,허수경 [외] 지음,문학과지성사,2023,811.6 허56ㅂ,9788930000000 
노동을 보는 눈,강수돌 지음,개마고원,2012,321.5 강56ㄴ,9788960000000 
별을 잇는 손,무라야마 사키 지음; 류순미 옮김,클,2019,833.6 무292ㅂ류,9791190000000 
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이치조 마사키 지음; 권영주 옮김,모모,2021,833.6 이86ㅇ권,9791190000000 
1등의 습관,찰스 두히그 지음; 강주헌 옮김,Alfred (알프레드),2016,189 두98ㅇ강,9788900000000 
침묵을 배우는 시간,코르넬리아 토프 지음; 장혜경 옮김,서교책방,2024,331.62 토897ㅊ장,9791200000000 
이것은 이름들의 전쟁이다,리베카 솔닛 지음; 김명남 옮김,창비,2018,330.4 솔198ㅇ김,9788940000000 
이종욱 평전,데스몬스 에버리 지음; 이한중 옮김,나무와숲,2020,510.99 에44ㅇ2,9788990000000 
새파란 돌봄,조기현 지음,이매진,2022,332.204 조18ㅅ,9791160000000 
국과수에서 일하는 상상 어때?,권미아; 이다혜 지음,창비,2024,321.55 권38ㄱ,9788940000000 
우리가 수학을 사랑하는 이유,전혜진 지음; 다드래기 그림,지상의책,2021,410.99 전94ㅇ,9791190000000 
"예술, 문학, 정신분석",지크문트 프로이트 지음; 정장진 옮김,열린책들,2020,185.51 프295ㅇ정,9788930000000 
낙인이라는 광기,스티븐 힌쇼 지음; 신소희 옮김,아몬드,2022,513.89099 힌55ㄴ신,9791190000000 
불안 세대,조너선 하이트 지음; 이충호 옮김,웅진지식하우스,2024,334.3 하68ㅂ이,9788900000000 
법 쫌 아는 10대,"김나영; 김택수 지음, 방상호 그림",풀빛,2024,360 김192ㅂ,9791160000000 
두 도시 이야기,찰스 디킨스 지음; 김소영 옮김,허밍버드,2020,843.4 디878ㄷ김,9788970000000 
한 사람을 위한 마음,이주란 지음,문학동네,2019,813.7 이76ㅎ,9788950000000 
괴물이 된 성범죄자들,안병헌 지음,슬로디미디어,2023,334.2232 안44ㄱ,9791170000000 
당신의 작업복 이야기,경향신문 작업복 기획팀 지음,오월의봄,2024,321.5 경93ㄷ,9791170000000 
지도로 보아야 보인다,에밀리 오브리; 프랭크 테타르 지음; 이수진 옮김,사이,2024,340.98 오47ㅈ이,9788990000000 
"수학 교과서, 영화에 딴지 걸다",이재진 지음,푸른숲주니어,2007,410 이73ㅅ,9788970000000 
괴물들,클레어 데더러 지음; 노지양 옮김,을유문화사,2024,600.13 데24ㄱ노,9788930000000 
이중 하나는 거짓말,김애란 지음,문학동네,2024,813.6 김63ㅇ,9791140000000 
언러키 스타트업,정지음 지음,민음사,2022,813.7 정78ㅇㄹ,9788940000000 
구의 증명,최진영 지음,은행나무,2023,813.6 최78ㄱ,9791170000000 
단 한 사람,최진영 지음,한겨레출판,2023,813.6 최78단,9791160000000 
대온실 수리 보고서,김금희 지음,창비,2024,813.6 김17ㄷ,9788940000000 
석가모니 인생수업,석가모니 지음; 김지민 엮음,Highest,2024,294.363 석12ㅅ,9791190000000 
당신이 누군가를 죽였다,히가시노 게이고 지음; 최고은 옮김,북다,2024,833.6 히12ㄷ최,9791170000000 
오후도 서점 이야기,무라야마 사키 지음; 류순미 옮김,클,2018,833.6 무292ㅇㅎ,9791190000000 
(Do it!) 알고리즘 코딩 테스트. 파이썬 편,김종관 지음,이지스퍼블리싱,2022,005.13 김75ㅇ v.파이썬 편,9791160000000 
인공지능 구조 원리 교과서,송경빈 지음,보누스,2024,004.73 송14ㅇ,9788960000000 
(청소년이 함께 살아야 할) 로봇과 AI,전승민 지음,매경주니어,2024,331.5412 전57ㄹ,9791160000000 
2024 김승옥문학상 수상작품집. 2024,조경란 외 지음,문학동네,2024,810.82 문78ㄱ v.2024,9791140000000 
영원한 천국,정유정 지음,은행나무,2024,813.6 정66ㅇㅇ,9791170000000 
고백루프,박서련 지음,창비,2024,813.6 박54ㄱ,9791170000000 
(비문학과 통합과학을 준비하는) 요즘 청소년을 위한 화학의 쓸모,정병진 지음,청어람미디어,2024,430 정44ㅇ,9791160000000 
두 얼굴의 원소라고?,강상욱 지음; 이크종 그림,나무를심는사람들,2024,430 강52ㄷ,9791190000000 
죽이고 싶은 아이. 2,이꽃님 지음,우리학교,2024,813.7 이15ㅈ v.2,9791170000000 
문명. 2,베르나르 베르베르 지음; 전미연 옮김,열린책들,2021,863 베297ㅁ전 v.2,9788930000000 
문명. 1,베르나르 베르베르 지음; 전미연 옮김,열린책들,2021,863 베297ㅁ전 v.1,9788930000000 
여고생 핍의 사건 파일,홀리 잭슨 지음; 장여정 옮김,북레시피,2023,843.6 잭57ㅇ장,9791190000000 
아이가 없는 집,알렉스 안도릴 지음; 유혜인 옮김,필름,2024,859.7 안25ㅇ유,9791190000000 
알레한드라 김의 가면증후군과 솔직한 고백,패트리샤 박 지음; 신혜연 옮김,서사원,2024,843.6 박893ㅇ신,9791170000000 
활자잔혹극,루스 렌들 지음; 이동윤 옮김,북스피어,2024,843.6 렌27ㅎ이,9791190000000 
(명화들이 말해주는) 그림 속 드레스 이야기,이정아 지음,J&jj (제이앤제이제이),2018,650.4 이74ㄱ,9791190000000 
"(난생 처음 한번 공부하는) 미술이야기. 8: 바로크 문명과 미술: 시선의 대축제, 막이 오르다",양정무 지음,사회평론,2024,609 양74ㅁ v.8,9791160000000 
홀리,스티븐 킹 지음; 이은선 옮김,황금가지,2024,843.5 킹57ㅎ이,9791170000000 
조선 미술관,탁현규 지음,블랙피쉬,2023,653.11 탁94ㅈ,9788970000000 
은하수를 여행하는 히치하이커를 위한 안내서,"더글러스 애덤스 지음; 김선형, 권진아 옮김",책세상,2005,843 애24ㅇ김,9788970000000 
예술 도둑,마이클 핀클 지음; 염지선 옮김,생각의힘,2024,844 핀877ㅇ염,9791190000000 
출근하는 책들,구채은 지음,Pazit(파지트),2023,029.04 구82ㅊ,9791190000000 
혼자가 좋지만 고독사는 걱정입니다,몬가 미오코 지음; 구수진 옮김,반니,2023,126.5 몬12ㅎ구,9791170000000 
고대로부터의 통신,한국역사연구회 고대사 분과 지음,푸른역사,2004,911.02 한16ㄱ c.2,9788990000000 
고대로부터의 통신,한국역사연구회 고대사 분과 지음,푸른역사,2004,911.02 한16ㄱ,9788990000000 
식민지 청년 이봉창의 고백,배경식 지음,Humanist,2015,911.063 배14ㅅ c.2,9788960000000 
식민지 청년 이봉창의 고백,배경식 지음,Humanist,2015,911.063 배14ㅅ,9788960000000 
박병선,공지희 지음; 김지안 그림,글로연,2012,998.9 공78ㅂ c.2,9788990000000 
박병선,공지희 지음; 김지안 그림,글로연,2012,998.9 공78ㅂ,9788990000000 
마주보는 한일사. 3: 한일 근현대사,한국·전국역사교사모임,사계절출판사,2014,911 한16ㅁ v.3 c.2,9788960000000 
마주보는 한일사. 3: 한일 근현대사,한국·전국역사교사모임,사계절출판사,2014,911 한16ㅁ v.3,9788960000000 
역사 앞에서,김성칠 지음; 정병준 해제,창비,2009,816.6 김54ㅇ c.2,9788940000000 
역사 앞에서,김성칠 지음; 정병준 해제,창비,2009,816.6 김54ㅇ,9788940000000 
미술관에 간 법학자,김현진 지음,어바웃어북,2024,650.4 김94ㅁ c.2,9791190000000 
미술관에 간 법학자,김현진 지음,어바웃어북,2024,650.4 김94ㅁ,9791190000000 
작은 땅의 야수들,김주혜 지음; 박소현 옮김,다산책방,2024,843.6 김76ㅈ박 c.2,9791130000000 
작은 땅의 야수들,김주혜 지음; 박소현 옮김,다산책방,2024,843.6 김76ㅈ박,9791130000000 
정조어찰첩,성균관대학교동아시아학술원[편],성균관대학교출판부,2009,911.05 성16ㅈ c.3,9788980000000 
정조어찰첩,성균관대학교동아시아학술원[편],성균관대학교출판부,2009,911.05 성16ㅈ c.2,9788980000000 
검은 사슴,한강 지음,문학동네,2017,813.6 한12ㄱ c.10,9788950000000 
검은 사슴,한강 지음,문학동네,2017,813.6 한12ㄱ c.9,9788950000000 
검은 사슴,한강 지음,문학동네,2017,813.6 한12ㄱ c.8,9788950000000 
검은 사슴,한강 지음,문학동네,2017,813.6 한12ㄱ c.7,9788950000000 
검은 사슴,한강 지음,문학동네,2017,813.6 한12ㄱ c.6,9788950000000 
검은 사슴,한강 지음,문학동네,2017,813.6 한12ㄱ c.5,9788950000000 
검은 사슴,한강 지음,문학동네,2017,813.6 한12ㄱ c.4,9788950000000 
검은 사슴,한강 지음,문학동네,2017,813.6 한12ㄱ c.3,9788950000000 
검은 사슴,한강 지음,문학동네,2017,813.6 한12ㄱ c.2,9788950000000 
검은 사슴,한강 지음,문학동네,2017,813.6 한12ㄱ,9788950000000 
노랑무늬영원,한강 지음,문학과지성사,2018,813.6 한12ㄴ c.9,9788930000000 
노랑무늬영원,한강 지음,문학과지성사,2018,813.6 한12ㄴ c.8,9788930000000 
노랑무늬영원,한강 지음,문학과지성사,2018,813.6 한12ㄴ c.7,9788930000000 
노랑무늬영원,한강 지음,문학과지성사,2018,813.6 한12ㄴ c.6,9788930000000 
노랑무늬영원,한강 지음,문학과지성사,2018,813.6 한12ㄴ c.5,9788930000000 
노랑무늬영원,한강 지음,문학과지성사,2018,813.6 한12ㄴ c.4,9788930000000 
노랑무늬영원,한강 지음,문학과지성사,2018,813.6 한12ㄴ c.3,9788930000000 
노랑무늬영원,한강 지음,문학과지성사,2018,813.6 한12ㄴ c.2,9788930000000 
작별하지 않는다,한강 지음,문학동네,2021,813.6 한12ㅈ c.10,9788950000000 
작별하지 않는다,한강 지음,문학동네,2021,813.6 한12ㅈ c.9,9788950000000 
작별하지 않는다,한강 지음,문학동네,2021,813.6 한12ㅈ c.8,9788950000000 
작별하지 않는다,한강 지음,문학동네,2021,813.6 한12ㅈ c.7,9788950000000 
작별하지 않는다,한강 지음,문학동네,2021,813.6 한12ㅈ c.6,9788950000000 
작별하지 않는다,한강 지음,문학동네,2021,813.6 한12ㅈ c.5,9788950000000 
작별하지 않는다,한강 지음,문학동네,2021,813.6 한12ㅈ c.4,9788950000000 
작별하지 않는다,한강 지음,문학동네,2021,813.6 한12ㅈ c.3,9788950000000 
작별하지 않는다,한강 지음,문학동네,2021,813.6 한12ㅈ c.2,9788950000000 
흰,한강 지음,문학동네,2018,813.6 한12ㅎ2 c.9,9788950000000 
흰,한강 지음,문학동네,2018,813.6 한12ㅎ2 c.8,9788950000000 
흰,한강 지음,문학동네,2018,813.6 한12ㅎ2 c.7,9788950000000 
흰,한강 지음,문학동네,2018,813.6 한12ㅎ2 c.6,9788950000000 
흰,한강 지음,문학동네,2018,813.6 한12ㅎ2 c.5,9788950000000 
흰,한강 지음,문학동네,2018,813.6 한12ㅎ2 c.4,9788950000000 
흰,한강 지음,문학동네,2018,813.6 한12ㅎ2 c.3,9788950000000 
흰,한강 지음,문학동네,2018,813.6 한12ㅎ2 c.2,9788950000000 
흰,한강 지음,문학동네,2018,813.6 한12ㅎ2,9788950000000 
서랍에 저녁을 넣어 두었다,한강,문학과지성사,2013,811.6 한12ㅅ c.10,9788930000000 
서랍에 저녁을 넣어 두었다,한강,문학과지성사,2013,811.6 한12ㅅ c.9,9788930000000 
서랍에 저녁을 넣어 두었다,한강,문학과지성사,2013,811.6 한12ㅅ c.8,9788930000000 
서랍에 저녁을 넣어 두었다,한강,문학과지성사,2013,811.6 한12ㅅ c.7,9788930000000 
서랍에 저녁을 넣어 두었다,한강,문학과지성사,2013,811.6 한12ㅅ c.6,9788930000000 
서랍에 저녁을 넣어 두었다,한강,문학과지성사,2013,811.6 한12ㅅ c.5,9788930000000 
서랍에 저녁을 넣어 두었다,한강,문학과지성사,2013,811.6 한12ㅅ c.4,9788930000000 
서랍에 저녁을 넣어 두었다,한강,문학과지성사,2013,811.6 한12ㅅ c.3,9788930000000 
서랍에 저녁을 넣어 두었다,한강,문학과지성사,2013,811.6 한12ㅅ c.2,9788930000000 
소년이 온다,한강,창비,2014,813.6 한12ㅅ c.10,9788940000000 
소년이 온다,한강,창비,2014,813.6 한12ㅅ c.9,9788940000000 
소년이 온다,한강,창비,2014,813.6 한12ㅅ c.8,9788940000000 
소년이 온다,한강,창비,2014,813.6 한12ㅅ c.7,9788940000000 
소년이 온다,한강,창비,2014,813.6 한12ㅅ c.6,9788940000000 
소년이 온다,한강,창비,2014,813.6 한12ㅅ c.5,9788940000000 
소년이 온다,한강,창비,2014,813.6 한12ㅅ c.4,9788940000000 
소년이 온다,한강,창비,2014,813.6 한12ㅅ c.3,9788940000000 
소년이 온다,한강,창비,2014,813.6 한12ㅅ c.2,9788940000000 
희랍어 시간,한강,문학동네,2011,813.6 한12ㅎ c.11,9788950000000 
희랍어 시간,한강,문학동네,2011,813.6 한12ㅎ c.10,9788950000000 
희랍어 시간,한강,문학동네,2011,813.6 한12ㅎ c.9,9788950000000 
희랍어 시간,한강,문학동네,2011,813.6 한12ㅎ c.8,9788950000000 
희랍어 시간,한강,문학동네,2011,813.6 한12ㅎ c.7,9788950000000 
희랍어 시간,한강,문학동네,2011,813.6 한12ㅎ c.6,9788950000000 
희랍어 시간,한강,문학동네,2011,813.6 한12ㅎ c.5,9788950000000 
희랍어 시간,한강,문학동네,2011,813.6 한12ㅎ c.4,9788950000000 
희랍어 시간,한강,문학동네,2011,813.6 한12ㅎ c.3,9788950000000 
오직 하나의 사랑,김성철 지음,온북스,2021,811.6 김54ㅇ,9788990000000 
샤워젤과 소다수,고선경 지음,문학동네,2023,811.6 고54ㅅ,9788950000000 
"우주의 역사, 최대한 쉽게 설명해 드립니다",박재용 지음,이화북스,2021,443.1 박73ㅇ,9791190000000 
우주탐사의 물리학,윤복원 지음,동아시아,2023,443.1 윤45ㅇ,9788960000000 
우리는 미래에 살고 있다,서울대학교 공과대학 지음,창비,2020,530.04 서66ㅇ,9791170000000 
빌런 간호사,박세인 지음,포널스,2024,512.804 박54ㅂ,9791170000000 
유기화학실험,윤효재; 윤용진 지음,자유아카데미,2023,437 윤95ㅇ-2,9791160000000 
무기화학실험,노동윤 외 지음,자유아카데미,2014,435 노25ㅁ,9788970000000 
일반화학실험,화학교재편찬회 편저,사이플러스,2024,432 화92ㅇ-3,9791190000000 
수학의 힘,올리버 존슨 지음; 노태복 옮김,더퀘스트,2024,410.4 존57ㅅ노 c.2,9791140000000 
누군가를 이토록 사랑한 적,이병률 지음,문학과지성사,2024,811.6 이44ㄴ,9788930000000 
지구인만큼 지구를 사랑할 순 없어,정세랑 지음,위즈덤하우스,2021,816.7 정54ㅈ,9791190000000 
풀밭이라는 말에서 달 내음이 난다,김성철 지음,백조,2023,811.6 김54ㅍ,9791190000000 
간호사 부서 탐방,강민애 지음,드림널스,2023,512.8 강38ㄱ,9791190000000 
(한 번 읽으면 절대 잊을 수 없는) 지리 교과서,야마사키 케이치 지음; 김아람 옮김,시그마북스,2023,980.1 야32ㅈ김,9791170000000 
초상화로 읽는 세계사,김인철 지음,양문,2023,909 김68ㅊ,9788990000000 
시 (詩),윤중호 지음; 임우기 엮음,솔,2022,811.62 윤76ㅅ,9791160000000 
사랑이 죽었는지 가서 보고 오렴,박연준 지음,문학동네,2024,811.6 박64ㅅ,9788950000000 
나노 화학,장홍제 지음,휴머니스트,2023,430 장95ㄴ,9791160000000 
『향약구급방』에 나오는 고려시대 식물들,신현철 지음,소명출판,2024,519.81 신94ㅎ,9791160000000 
아주 이상한 수학책,벤 올린 지음; 강세중 옮김,북라이프,2024,410 올298ㅇ강,9791190000000 
운동의 뇌과학,제니퍼 헤이스 지음; 이영래 옮김,현대지성,2023,511.1813 헤68ㅇ이,9791140000000 
복잡한 세상을 이기는 수학의 힘,류쉐펑 지음; 이서연 옮김,미디어숲,2023,410.4 류56ㅂ이,9791160000000 
더 이상한 수학책,벤 올린 지음; 이경민 옮김,북라이프,2021,414 올298ㄷ이,9791190000000 
도시를 만드는 기술 이야기,그레이디 힐하우스 지음; 윤신영 옮김,한빛미디어,2024,539.7 힐92ㄷ윤,9791170000000 
과학 잔혹사,샘 킨 지음; 이충호 옮김,해나무,2024,409 킨53ㄱ이,9791160000000 
모스에서 잡스까지,신동흔 지음,뜨인돌,2018,567 신25ㅁ,9788960000000 
(우리의 미래를 결정할) 과학 4.0,박재용 지음,북루덴스,2023,404 박73ㄱ,9791200000000 
"왜요, 그 말이 어때서요?",김청연 지음,동녘,2019,701 김83ㅇ,9788970000000 
처음 읽는 양자컴퓨터 이야기,다케다 슌타로 지음; 전종훈 옮김,플루토,2021,004.73 슌882ㅊ전,9791190000000 
오늘부터 IT를 시작합니다,고코더 지음,한빛미디어,2022,004 고875ㅇ,9791170000000 
청소년 마약에 관한 모든 질문,김희준; 공주영 지음,주니어태학,2024,334 김97ㅊ,9791170000000 
십 대를 위한 SW 인문학,두일철; 오세종 지음,영진닷컴,2023,331 두68ㅅ,9788930000000 
푸른 숨,오미경 지음,특별한서재,2023,813.7 오38ㅍ,9791170000000 
