"자료명","저자","출판사","출판년도","소장처","ISBN","카카오제목","카카오작가","카카오번역자","카카오ISBN","카카오출판사","카카오출간일","카카오썸네일","카카오URL","책소개","알라딘표지","알라딘ISBN13","알라딘설명","알라딘카테고리ID","알라딘카테고리명"
"(캠벨) 생명과학. 2: 6~8단원","Neil A. Campbell 외 지음; 전상학 외 역","바이오사이언스","2022","자료실","9788968241260 ","캠벨 생명과학","Urry","","9788968241260","바이오사이언스출판","2022-03-15","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6039530%3Ftimestamp%3D20241001154924","https://search.daum.net/search?w=bookpage&bookId=6039530&q=%EC%BA%A0%EB%B2%A8+%EC%83%9D%EB%AA%85%EA%B3%BC%ED%95%99","『캠벨 생명과학』은 생물학 이론서이며 기초적이고 전반적인 내용을 확인할 수 있다.","https://image.aladin.co.kr/product/29065/54/coversum/8968241260_1.jpg","9788968241260.0","","8345.0","국내도서>대학교재/전문서적>자연과학계열>생물학"
"The giver","Lois Lowry","Houghton Mifflin Harcourt","1993","신착도서","9780544442207 ","The Giver","로이스 로리","","9780544442207","Houghton Mifflin Harcourt (HMH","2014-07-01","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F3228770%3Ftimestamp%3D20250208113721","https://search.daum.net/search?w=bookpage&bookId=3228770&q=The+Giver","The Giver, the 1994 Newbery Medal winner, has become one of the most influential novels of our time. The haunting story centers on twelve-year-old Jonas, who lives in a seemingly ideal, if colorless, world of conformity and contentment. Not until he is given his life assignment as the Receiver of Memory does he begin to understand the dark, complex secrets behind his fragile community. Lois Lowry has written three companion novels to The Giver, including Gathering Blue, Messenger, and Son.","https://image.aladin.co.kr/product/4382/61/coversum/054444220d_1.jpg","9780544442207.0","","106216.0","외국도서>어린이>동화책>고전/명작"
"신을 죽인 여자들","클라우디아 피녜이로 지음; 엄지영 옮김","푸른숲","2023","신착도서","9791156754497 ","신을 죽인 여자들","클라우디아 피녜이로","엄지영","9791156754497","푸른숲","2023-12-15","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6512724%3Ftimestamp%3D20250222150634","https://search.daum.net/search?w=bookpage&bookId=6512724&q=%EC%8B%A0%EC%9D%84+%EC%A3%BD%EC%9D%B8+%EC%97%AC%EC%9E%90%EB%93%A4","보르헤스 이후 가장 많은 언어로 번역된 아르헨티나의 대표 작가 클라우디아 피녜이로의 대표작 《신을 죽인 여자들》이 푸른숲에서 출간되었다. 30년 전, 온몸이 토막 난 채 불에 탄 소녀를 둘러싼 비밀을 풀어나가는 이번 작품은 그해 가장 뛰어난 범죄소설에게 수여되는 대실해밋상을 만장일치로 수상하였다. 평론가들로부터 도스토옙스키, 레이먼드 카버와 비교되는 한편 “모든 것을 갖추고 있었다”는 극찬을 받았다. 또한 아마존 평점 4.4점, 굿리즈 평점 4.2점을 기록하는 등 독자들에게도 압도적인 호평을 받으며 작품성과 대중성을 모두 갖춘 작품임을 증명해냈다. 각자 다른 종교에 대한 신념으로 인해 붕괴되는 한 가족의 모습을 그린 《신을 죽인 여자들》은 클라우디아 피녜이로가 그간 천착해온 주제가 집대성되어 있는 작품이다. 사회의 압제가 여성을 어떻게 망가뜨리는지, 종교가 개인에게 어떤 합리화의 명분을 주는지, 맹목적 진실 추구가 어떤 결과를 낳는지 등 거장의 면모를 확인할 수 있다. 범죄 소설의 한계를 넘어 한 정점에 오른 걸작을 지금 확인해보자.","https://image.aladin.co.kr/product/33031/54/coversum/k022937273_1.jpg","9791156754497.0","보르헤스 이후 가장 많은 언어로 번역된 아르헨티나의 대표 작가 클라우디아 피녜이로의 대표작. 각자 다른 종교에 대한 신념으로 인해 붕괴되는 한 가족의 모습을 그린 《신을 죽인 여자들》은 클라우디아 피녜이로가 그간 천착해온 주제가 집대성되어 있는 작품이다.","51067.0","국내도서>소설/시/희곡>추리/미스터리소설>기타국가 추리/미스터리소설"
"알파폴드: AI 신약개발 혁신","남궁석 지음","Biospectator (바이오스펙테이터)","2024","신착도서","9791191768084 ","알파폴드: AI 신약개발 혁신","남궁석","","9791191768084","바이오스펙테이터","2024-03-11","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6578642%3Ftimestamp%3D20240915135105","https://search.daum.net/search?w=bookpage&bookId=6578642&q=%EC%95%8C%ED%8C%8C%ED%8F%B4%EB%93%9C%3A+AI+%EC%8B%A0%EC%95%BD%EA%B0%9C%EB%B0%9C+%ED%98%81%EC%8B%A0","바야흐로 인공지능의 시대다. 인공지능은 인류 문명을 다방면에서 바꿔 왔으며, 특히 생명과학계에 변혁을 불러왔다. 그 중심에 알파폴드(Alphafold)가 있다. 2018년 12월에 구글 딥마인드가 발표한 단백질 구조 예측 인공지능인 알파폴드는 첫 등장부터 놀라운 성과를 보여 주었고, 2020년에는 예측 정확도를 더욱 높이며 실험 구조와 매우 유사한 결과를 내놓았다. 현재 소스 코드가 공개된 알파폴드는 실험구조생물학자에게 필수 도구로 자리 잡으며 신약개발이나 단백질 디자인 등에서 새로운 방향을 제시해 주고 있다. 《알파폴드: AI 신약개발 혁신》은 단백질 발견부터 단백질 구조생물학 그리고 알파폴드의 등장에 이르는 100여 년의 연구 역사를 다룬다. 알파폴드가 얼마나 대단한지 이해하려면 단백질이 인체에서 중요한 역할을 한다는 것과 험난했던 단백질 구조 예측 과정을 알아야 한다. 알파폴드의 직접적인 토대는 수십 년 동안 과학자들의 노력으로 축적한 단백질 구조 및 서열 정보 같은 데이터다. 이 책은 단백질의 정체를 밝혀 온 수많은 과학자의 성과를 소개하며, 알파폴드가 불러온 구조생물학과 생명과학의 변화를 짚어 본다. 이 책을 통해 단백질 구조 예측 기술과 이를 통한 신약개발의 미래를 진단해 보자.","https://image.aladin.co.kr/product/33533/5/coversum/k402939570_1.jpg","9791191768084.0","단백질 발견부터 단백질 구조생물학 그리고 알파폴드의 등장에 이르는 100여 년의 연구 역사를 다룬다. 단백질의 정체를 밝혀 온 수많은 과학자의 성과를 소개하며, 알파폴드가 불러온 구조생물학과 생명과학의 변화를 짚어 본다. 이 책을 통해 단백질 구조 예측 기술과 이를 통한 신약개발의 미래를 진단해 보자.","51205.0","국내도서>과학>생명과학>생명과학"
"맨큐의 경제학","N. Gregory Mankiw 지음; 김경환, 김종석 옮김","센게이지러닝코리아","2021","자료실","9788962185027 ","맨큐의 경제학","그레고리 맨큐","김경환","9788962185027","한티에듀","2021-02-25","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5597921%3Ftimestamp%3D20250220145205","https://search.daum.net/search?w=bookpage&bookId=5597921&q=%EB%A7%A8%ED%81%90%EC%9D%98+%EA%B2%BD%EC%A0%9C%ED%95%99","『맨큐의 경제학』의 우리말 번역판 초판이 1999년 2월에 출간된 지 22년이 지났다. 그동안 『맨큐의 경제학』은 판을 거듭하면서 경제학 원론 교재로서뿐 아니라 경제학에 관심이 있는 일반 독자들의 입문서로도 분에 넘치는 사랑을 받아왔다. 무엇보다도 경제학의 기본 개념과 응용 사례를 명료하고 알기 쉽게 설명한 원서의 가치가 우리나라 독자들에게 제대로 전달되어 좋은 반응을 얻었다는 사실에 옮긴이로서 큰 기쁨과 보람을 느낀다. 『맨큐의 경제학』 번역판 초판이 아시아 외환 위기 직후에 기획되었는데, 2008년에 발발한 글로벌 금융 위기를 계기로 위기를 예측하지 못한 경제학자들과 경제학 자체의 무용론이 제기되기도 했다. 제9판이 출판되는 지금 전 세계는 2020년에 시작된 코로나 바이러스(COVID-19)의 거대한 충격에 대응하느라 부심하고 있다. 세상이 점점 더 복잡해지고 새로운 경제 현상과 그에 따른 정책접근이 대두됨에 따라 경제 현상과 정책에 대한 정확한 이해가 더 중요해지고 있다. 원서 제9판은 이전 판의 기본 골격을 유지하면서 일부 장의 설명을 보강하고 신문기사와 사례연구, 응용문제를 교체했다. 번역판은 이러한 변화를 최대한 소화했고, 부록인 우리나라 통계도 최근 자료로 보완했다. 이와 함께 본문을 전체적으로 재검토하여 보다 자연스러운 표현으로 다듬었다.","https://image.aladin.co.kr/product/26238/59/coversum/8962185024_1.jpg","9788962185027.0","경제학의 중요 이론과 원리를 빠짐없이 정리하였으며, 다양한 사례를 통해 이론서가 쉽게 놓칠 수 있는 현실과의 괴리감을 줄였다. 특히 저자는 학생들이 경제학에 친숙하게 다가가게 하기 위해 되도록 문장은 간결하게 집필하였다.","8560.0","국내도서>대학교재/전문서적>경상계열>경제학"
"호빗","J.R.R. 톨킨 지음 ; 이미애 옮김","Arte(아르테)","2021","자료실","9788950992521 ","호빗","J. R. R. 톨킨","이미애","9788950992521","아르테(arte)","2021-03-01","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5599178%3Ftimestamp%3D20230210142531","https://search.daum.net/search?w=bookpage&bookId=5599178&q=%ED%98%B8%EB%B9%97","용이 지키는 보물을 찾아 떠난 호빗 빌보의 흥미진진한 모험이 시작된다! 전 세계 1억 부 판매 신화! 아마존 독자 선정 세기 최고의 도서! 톨킨이 창조한 가운데땅 판타지의 서막! 톨킨의 가운데땅 이야기의 서막을 알린 작품! 톨킨이 직접 그린 일러스트 13점과 2장의 지도를 함께 수록! 국내 최초 50주년판 완역 전면 개정! 무서운 용 ‘스마우그’에게 빼앗긴 동쪽의 ‘외로운 산’을 되찾기 위한 난쟁이들과 마법사 간달프의 여정. 평화로운 일상을 살아가던 골목쟁이네 빌보는 이들의 여정에 휘말리면서 위험천만한 모험을 시작하게 된다. 톨킨의 가운데땅 이야기의 서막을 알린 작품 『호빗』은 1937년 출간 이후 베스트셀러로 등극하며 세계적으로 1억 부 이상 판매되었다. 이후 『호빗』에 등장했던 신기한 반지는 『반지의 제왕』에서 암흑군주 사우론의 힘을 상징하는 반지가 되고, 가운데땅의 여러 종족들과 사우론의 악의 세력들은 운명을 건 전투를 시작하게 된다. 2021년 새롭게 출간된 『호빗』은 초판 발행 당시 톨킨이 직접 그려 넣은 일러스트 13점과 두 장의 지도를 함께 넣었고, 크리스토퍼 톨킨이 편집한 50주년 기념판을 반영, 전면 개정 완역하였다. 또한 『호빗』 출간을 회고하는 크리스토퍼 톨킨의 서문을 수록하여 국내 톨킨 독자들이 원작의 풍미를 맛볼 수 있도록 하였다.","https://image.aladin.co.kr/product/26403/8/coversum/8950992523_2.jpg","9788950992521.0","2021년 새롭게 출간된 호빗은 초판 발행 당시 톨킨이 직접 그려 넣은 일러스트 13점과 두 장의 지도를 함께 넣었고, 크리스토퍼 톨킨이 편집한 50주년 기념판을 반영, 전면 개정 완역하였다. 또한 호빗 출간을 회고하는 크리스토퍼 톨킨의 서문을 수록하였다.","51120.0","국내도서>소설/시/희곡>판타지/환상문학>외국판타지/환상소설"
"반지의 제왕. 3: 왕의 귀환","J.R.R. 톨킨 지음 ; 김보원, 김번, 이미애 옮김","Arte(아르테)","2021","자료실","9788950992484 ","반지의 제왕 3: 왕의 귀환","J. R. R. 톨킨","김보원","9788950992484","아르테(arte)","2021-03-01","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5599079%3Ftimestamp%3D20230210142805","https://search.daum.net/search?w=bookpage&bookId=5599079&q=%EB%B0%98%EC%A7%80%EC%9D%98+%EC%A0%9C%EC%99%95+3%3A+%EC%99%95%EC%9D%98+%EA%B7%80%ED%99%98","가운데땅의 운명이 걸린 최후의 전쟁이 시작되다! 전 세계 1억 부 판매 신화! 아마존 독자 선정 세기 최고의 도서! 〈해리 포터〉, 〈리그 오브 레전드〉 세계관의 원류! 현대문학을 대표하는 천재적인 작품! 20세기 판타지 문학의 걸작 『반지의 제왕』, 새롭게 태어나다! 국내 최초 60주년판 완역 전면 개정!","https://image.aladin.co.kr/product/26403/9/coversum/8950992442_2.jpg","9788950992484.0","모든 힘을 지배할 절대반지를 갖게 된 호빗 ‘프로도’가 악의 세력을 물리치고 절대반지를 파괴하기 위해 목숨을 건 여정을 떠나는 판타지 서사 『반지의 제왕(Part3 왕의 귀환)』(전 3권) 3권이 아르테에서 출간되었다.","51120.0","국내도서>소설/시/희곡>판타지/환상문학>외국판타지/환상소설"
"반지의 제왕. 2: 두 개의 탑","J.R.R. 톨킨 지음 ; 김보원, 김번, 이미애 옮김","Arte(아르테)","2021","자료실","9788950992477 ","반지의 제왕 2: 두 개의 탑","J. R. R. 톨킨","김보원","9788950992477","아르테(arte)","2021-03-01","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5598995%3Ftimestamp%3D20230223143251","https://search.daum.net/search?w=bookpage&bookId=5598995&q=%EB%B0%98%EC%A7%80%EC%9D%98+%EC%A0%9C%EC%99%95+2%3A+%EB%91%90+%EA%B0%9C%EC%9D%98+%ED%83%91","절대반지를 파괴하기 위해 모르도르로 향하는 두 호빗! 전 세계 1억 부 판매 신화! 아마존 독자 선정 세기 최고의 도서! 〈해리 포터〉, 〈리그 오브 레전드〉 세계관의 원류! 현대문학을 대표하는 천재적인 작품! 20세기 판타지 문학의 걸작 『반지의 제왕』, 새롭게 태어나다! 국내 최초 60주년판 완역 전면 개정!","https://image.aladin.co.kr/product/26403/9/coversum/8950992477_2.jpg","9788950992477.0","모든 힘을 지배할 절대반지를 갖게 된 호빗 ‘프로도’가 악의 세력을 물리치고 절대반지를 파괴하기 위해 목숨을 건 여정을 떠나는 판타지 서사 『반지의 제왕』이 출간되었다. 2020년 새롭게 출간된 『반지의 제왕』은 국내 최초로 60주년판 전면 완역을 거쳤다.","51120.0","국내도서>소설/시/희곡>판타지/환상문학>외국판타지/환상소설"
"반지의 제왕. 1: 반지원정대","J.R.R. 톨킨 지음 ; 김보원, 김번, 이미애 옮김","Arte(아르테)","2021","자료실","9788950992460 ","반지의 제왕 1: 반지 원정대","J. R. R. 톨킨","김보원","9788950992460","아르테(arte)","2021-02-23","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5599085%3Ftimestamp%3D20230223143251","https://search.daum.net/search?w=bookpage&bookId=5599085&q=%EB%B0%98%EC%A7%80%EC%9D%98+%EC%A0%9C%EC%99%95+1%3A+%EB%B0%98%EC%A7%80+%EC%9B%90%EC%A0%95%EB%8C%80","가운데땅 역사상 가장 스펙터클한 원정이 시작되다! 전 세계 1억 부 판매 신화! 아마존 독자 선정 세기 최고의 도서! 〈해리 포터〉, 〈리그 오브 레전드〉 세계관의 원류! 현대문학을 대표하는 천재적인 작품! 20세기 판타지 문학의 걸작 『반지의 제왕』, 새롭게 태어나다! 국내 최초 60주년판 완역 전면 개정!","https://image.aladin.co.kr/product/26403/8/coversum/8950992469_2.jpg","9788950992460.0","모든 힘을 지배할 절대반지를 갖게 된 호빗 ‘프로도’가 악의 세력을 물리치고 절대반지를 파괴하기 위해 목숨을 건 여정을 떠나는 판타지 서사 『반지의 제왕』이 출간되었다. 2020년 새롭게 출간된 『반지의 제왕』은 국내 최초로 60주년판 전면 완역을 거쳤다.","51120.0","국내도서>소설/시/희곡>판타지/환상문학>외국판타지/환상소설"
"찬란한 멸종","이정모 지음","다산북스","2024","신착도서","9791130655017 ","찬란한 멸종","이정모","","9791130655017","다산북스","2024-08-07","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6694639%3Ftimestamp%3D20241115153546","https://search.daum.net/search?w=bookpage&bookId=6694639&q=%EC%B0%AC%EB%9E%80%ED%95%9C+%EB%A9%B8%EC%A2%85","국내 최고의 과학 스토리텔러 ‘털보 관장’이 3년 만에 신작으로 돌아왔다. JTBC 〈차이나는 클라스〉, tvN 〈어쩌다 어른〉 등의 방송과 유튜브 채널에서 ‘지구의 역사’와 ‘인류 대멸종’을 주제로 강의해 누적 조회 수 1100만 회 이상을 기록하며 화제를 모았던 이정모 저자가 『찬란한 멸종』을 통해 멸종으로 보는 46억 년 지구의 역사를 본격적으로 스토리텔링한다. 이 책은 시간순으로 진행되는 흔한 빅 히스토리에서 벗어나 인류가 멸망한 2150년 인공지능이 들려주는 이야기로 시작한다. 화성 테라포밍을 실행한 2100년, 지구에 아직 빙하가 남은 2024년, 46억 년 전 지구가 탄생하기까지 거꾸로 거슬러 올라가며 방대한 역사를 생생한 도판과 함께 엮어낸다. 그뿐만 아니라 범고래, 네안데르탈인, 산호, 삼엽충 등 지구 생명체가 직접 자신의 이야기를 펼쳐내 그동안 인간이 지구를 바라봤던 모든 관점을 뒤집는다. ‘한국의 빌 브라이슨’답게 능청스럽게 이야기를 풀어내는 이정모 특유의 유머는 독자들을 시종일관 웃음 짓게 만든다. 그렇게 소설처럼 재미있게 읽다 보면 46억 년 지구의 역사가 단숨에 이해된다. 물리학자 김상욱 교수가 “이런 시의적절한 주제를, 이렇게 맛깔나게 쓸 수 있는 사람은 이정모뿐이다”라고 극찬하고, 과학 커뮤니케이터 궤도가 “극한의 상황을 극복한 우리의 찬란한 미래를 상상하게 만든다”라며 강력 추천한 이유다. 지구는 다섯 번이나 대멸종을 겪었지만 그때마다 더욱 경이롭게 진화했다. 독자들은 『찬란한 멸종』을 통해 다가올 미래를 두려워하기보다 흥미롭게 상상하는 경이로운 경험을 하게 될 것이다. 여섯 번째 대멸종을 지나는 지구인을 위한 새로운 교양서를 지금 바로 만나보자.","https://image.aladin.co.kr/product/34433/86/coversum/k472932124_2.jpg","9791130655017.0","JTBC 차이나는 클라스, tvN 어쩌다 어른 등의 방송과 유튜브 채널에서 ‘지구의 역사’와 ‘인류 대멸종’을 주제로 강의해 누적 조회 수 1100만 회 이상을 기록하며 화제를 모았던 이정모 저자가 『찬란한 멸종』을 통해 멸종으로 보는 46억 년 지구의 역사를 본격적으로 스토리텔링한다.
","51315.0","국내도서>과학>지구과학>지구"
