book_id,title,author,publisher,year,call_number,isbn,image_url,description,category
9931,프랭클린 자서전,벤저민 프랭클린,범우사,2002,340.99 프44ㅍ,8908032088,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F361525%3Ftimestamp%3D20240803112621,"미국의 정치가, 과학자, 저술가인 벤자민 프랭클린의 자서. 아버지의양초공장에서 일을 하다 신문발행에 참여하고 대학 창설, 피뢰침 발명, 독립선언서 기초위원으로서의 활약 등 자유를 사랑하고 과학을 존중한 삶이 초기 미국의 역사와 함께 전개된다.","['에세이', '외국에세이']"
9932,엔트로피,"리프킨, 제레미",세종연구원,2003,331.54 리74ㅇ,8986698293,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1248898%3Ftimestamp%3D20241205113845,"‘물질이 열역학적 변화를 일으킬 때 변화된 온도를 열량으로 나눈 값으로서, 쓸 수 없게 된 에너지’를 뜻하는 엔트로피는 가용 에너지를 초과하는 상황에 대한 경고를 담고 있는 책이다. 이를 통해서 역사를 진보로 보는 시각을 무너뜨리고, 과학과 기술이 보다 질서 있는 사회를 만들 것이라는 환상을 다시 한 번 생각해보게 해준다. 엔트로피 법칙에 따르면 지구상이건 우주건 어디서든 질서를 창조하기 위해선 더 큰 무질서를 만들어내야 한다. 그러나 질서를 창조하기 위해 사용된 수많은 에너지는 일부는 쓸 수 없는 에너지로 환경오염이란 이름으로, 실업이란 이름으로 인류에게 혼돈만 가져다 주었다. 무엇보다 우리는 지구 자원의 한계를 인식하고 저低엔트로피 세계관을 받아들여야 한다. 그렇게라도 하지 않으면 인류의 역사가 우리 세대에서 끝나게 될지도 모른다.","['과학', '과학의 이해', '과학사상']"
9933,그많던 싱아는 누가 다 먹었을까,박완서,웅진닷컴,1993,813.6 박65ㄱ,890100674X,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5564301%3Ftimestamp%3D20250226144323,"2021년은 한국 문학의 거목, 박완서가 우리 곁을 떠난 지 꼬박 10년이 되는 해다. 그의 타계 10주기를 기리며 박완서 문학의 정수로 꼽히는 연작 자전소설 두 권이 16년 만에 새로운 옷을 입고 독자들을 찾아왔다. 생전에 그가 가장 사랑했던 『그 많던 싱아는 누가 다 먹었을까』(1992)와 『그 산이 정말 거기 있었을까』(1995)는 모두 출간된 지 20여 년이 훌쩍 넘었지만 여전히 한국 소설의 대표적인 스테디셀러이자 중·고등학생 필독서로 남녀노소에게 사랑받는 작품이다. 독자들의 끊임없는 애정으로 ‘160만 부 돌파’라는 경이적인 기록을 세운 이 두 권은 결코 마모되지 않고 자유롭게 자신만의 문학 세계를 완성한 고(故) 박완서 작가를 형상화한 듯 생명력 넘치는 자연을 모티프로 재탄생했다. 『그 많던 싱아는 누가 다 먹었을까』는 연작 자전소설의 첫 번째 이야기로, 1930년대 개풍 박적골에서 보낸 꿈같은 어린 시절과 1950년 한국전쟁으로 황폐해진 서울에서의 스무 살까지를 그리고 있다. 강한 생활력과 유별난 자존심을 지닌 어머니와 이에 버금가는 기질의 소유자인 작가 자신, 이와 대조적으로 여리고 섬세한 기질의 오빠가 어우러져 살아가는 가족 관계를 중심으로 1930년대 개풍 지방의 풍속과 훼손되지 않은 산천의 모습, 생활상, 인심 등이 유려한 필치로 그려지고 있다. 더불어 작가가 1940년대 일제 치하에서 보낸 학창 시절과 6·25전쟁과 함께 스무 살을 맞이한 1950년 격동의 한국 현대사 풍경이 생생하게 펼쳐진다. 고향 산천에 지천으로 자라나던 흔하디흔한 풀 ‘싱아’로 대변되는 작가의 순수한 유년 시절이 이야기가 전개되어갈수록 더욱 아련하게 그리워지는 아름다운 성장소설로, 박완서 문학의 최고작이라 일컬어진다.","['소설/시/희곡', '한국소설', '2000년대 이전 한국소설']"
9934,아홉살 인생,위기철,청년사,2002,813.6 위18ㅇ c.2,8972782289,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1007683%3Ftimestamp%3D20221107222636,"MBC 느낌표 선정도서! 진실한 거짓말쟁이 신기종, 골방에 갇혀 천하를 꿈꾸던 골방철학자, 사랑스런 허영쟁이 장우림, 아버지를 죽이고 싶어했던 검은제비, 내가 얻은 별명, 노란네모... 그곳에서 아홉살짜리가 배운 삶의 이야기. 십년 전에 출간 했던 책으로 장정을 새롭게 꾸며 다시 펴냈다. 작가는 그동안 장편소설 <고슴도치>와 <벼룩의 간>, <노동자 이야기주머니> 등을 펴낸 바 있다.","['소설/시/희곡', '한국소설', '2000년대 이전 한국소설']"
9935,무량수전 배흘림기둥에 기대서서,최순우,학고재,2002,609 최56ㅁ,8985846213,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1225779%3Ftimestamp%3D20230621174951,"국립중앙박물관장을 지낸 고 최순우씨가 쓴 우리의 문화 유산 해설서. 부석사 무량수전 등 건축물을 비롯해 불상, 금속공예, 백자, 회화에 이르기까지 장르별 우리 문화유산 대표작들을 도판과 함께 해설했다. 문화재들을 설명하는 저자의 맛깔스런 입담이 한국적인 것의 아름다움을 더욱 느끼게 한다.","['역사', '문화/역사기행', '한국 문화/역사기행']"
9936,노인과 바다,어니스트 헤밍웨이 지음,문예출판사,1999,843 헤64ㄴ,,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F541126%3Ftimestamp%3D20241113114442,"미국 현대 문학의 개척자라 불리는 어니스트 헤밍웨이의 대표작 『노인과 바다』. 퓰리처상 수상작이자 헤밍웨이의 마지막 소설로, 작가 고유의 소설 수법과 실존 철학이 집약된 헤밍웨이 문학의 결정판이다. 한 노인의 실존적 투쟁과 불굴의 의지를 절제된 문장으로 강렬하게 그려냈다. 십여 년 동안 이렇다 할 작품을 내놓지 못했던 헤밍웨이는 이 작품을 통해 작가적 생명력을 재확인하고 삶을 긍정하는 성숙한 태도를 보여주었다. 개인주의와 허무주의를 넘어 인간과 자연을 긍정하고 진정한 연대의 가치를 역설한다. 감정을 절제한 문체와 사실주의 기법, 다양한 상징과 전지적 화법을 활용하여 작품의 깊이를 더했다.","['소설/시/희곡', '영미소설']"
9937,거꾸로 읽는 세계사,유시민,푸른나무,2001,909 유58ㄱ c.4,8985893203,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5875769%3Ftimestamp%3D20230505144926,"1988년 초판 출간 이후 스테디셀러로 굳건히 자리를 지켰던 유시민의 『거꾸로 읽는 세계사』가 절판 이후 새 얼굴로 출간됐다. ‘전면개정’이라는 수식이 무색할 정도로 30년 넘게 축적된 정보를 꼼꼼하게 보완하고, 사건에 대한 해석을 바꿨으며, 같은 문장 하나 두지 않고 고쳐 쓴 ‘새로운’ 책이다. 그럼에도 제목을 그대로 쓴 이유는 초판에서 보였던 ‘거꾸로 읽는 자세’를 전부 거둬내지는 않았기 때문이다. 세계를 보는 편향된 시각에 균형을 맞추려 했고, 여전히 소홀하게 취급받는 몇몇 사건도 비중 있게 다뤘다. 『거꾸로 읽는 세계사』는 유시민에게 여러 모로 ‘첫 번째’로서 갖는 의미가 많다. 처음으로 ‘작가’라는 이름을 달아준 책이자, 저서 중 가장 먼저 단시간에 베스트셀러에 오른 책인 동시에 가장 오랫동안 독자 곁에 머문 책이다. 지식소매상 유시민을 본격적으로 알린, 『나의 한국현대사 1959-2020』(돌베개 2021), 『역사의 역사』(돌베개, 2018)를 있게 한 ‘유시민의 역사 3부작’의 시작점이기도 하다. 책의 수명이 점점 더 짧아지는 요즘, 33년 전에 출간된 책이 생명력을 잃지 않고 이렇게 살아남을 수 있다는 것에 의미를 부여해보고 싶다. 20대 청년의 지적 반항으로, 중고등학생의 보조 교재로, 대학가의 교양 필독서로 한 시대를 풍미했던 책은 이제 어디로 가닿게 될까? 부디 지나온 시간만큼 다시 한번 잘 건너가기를 희망한다.","['역사', '세계사 일반']"
9938,탈무드,이동민 옮김,인디·북,2003,239.3 이25ㅌ,,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F526950%3Ftimestamp%3D20240616111825,"중학생들을 위해 명작을 바르게 감상하고 독후감작성에 도움을 주고자 기획된 시리즈이다. 작품 알고 들어가기, 내용 훑어보기, 작품 분석하기, 등장인물 알기와 독후감 모범답안 실례 등이 수록되었다.","['청소년', '청소년 고전']"
9939,시읽는 기쁨,정효구,작가정신,2003,811.609 정95ㅅ c.5,8972881554,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1008824%3Ftimestamp%3D20241001114318,"한국 현대 시인 25인과의 아름다운 만남. 1985년 <한국문학 신인상>을 수상하며 활발한 문학평론을 해온 문학평론가가 쓴 현대시 평론서. 시를 더 구체적이고 진실되게 이해할 수 있도록, 시 뿐만이 아니라 오히려 시인에 대한 더 자세한 이해와 정보를 제공한다. 무한이 부르는 소리, 무한에 다가가는 소리, 천상병의 <귀천>부터 말의 힘을 느껴보세요, 황인숙의 <말의 힘>까지 현대의 대표적인 시인들을 소개한다.","['소설/시/희곡', '시', '한국시']"
9940,시읽는 기쁨,정효구,작가정신,2003,811.609 정95ㅅ c.4,8972881554,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1008824%3Ftimestamp%3D20241001114318,"한국 현대 시인 25인과의 아름다운 만남. 1985년 <한국문학 신인상>을 수상하며 활발한 문학평론을 해온 문학평론가가 쓴 현대시 평론서. 시를 더 구체적이고 진실되게 이해할 수 있도록, 시 뿐만이 아니라 오히려 시인에 대한 더 자세한 이해와 정보를 제공한다. 무한이 부르는 소리, 무한에 다가가는 소리, 천상병의 <귀천>부터 말의 힘을 느껴보세요, 황인숙의 <말의 힘>까지 현대의 대표적인 시인들을 소개한다.","['소설/시/희곡', '시', '한국시']"
