book_id,title,author,publisher,year,call_number,isbn,image_url,description,category
0,(캠벨) 생명과학. 2: 6~8단원,Neil A. Campbell 외 지음; 전상학 외 역,바이오사이언스,2022,470 캠44ㅅ전-12 v.2 c.2,9788970000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6039530%3Ftimestamp%3D20241001154924,『캠벨 생명과학』은 생물학 이론서이며 기초적이고 전반적인 내용을 확인할 수 있다.,"['대학교재/전문서적', '자연과학계열', '생물학']"
1,(캠벨) 생명과학. 2: 6~8단원,Neil A. Campbell 외 지음; 전상학 외 역,바이오사이언스,2022,470 캠44ㅅ전-12 v.2,9788970000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6039530%3Ftimestamp%3D20241001154924,『캠벨 생명과학』은 생물학 이론서이며 기초적이고 전반적인 내용을 확인할 수 있다.,"['대학교재/전문서적', '자연과학계열', '생물학']"
2,The giver,Lois Lowry,Houghton Mifflin Harcourt,1993,843 L921g,9780540000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F3228770%3Ftimestamp%3D20250208113721,"The Giver, the 1994 Newbery Medal winner, has become one of the most influential novels of our time. The haunting story centers on twelve-year-old Jonas, who lives in a seemingly ideal, if colorless, world of conformity and contentment. Not until he is given his life assignment as the Receiver of Memory does he begin to understand the dark, complex secrets behind his fragile community. Lois Lowry has written three companion novels to The Giver, including Gathering Blue, Messenger, and Son.","['어린이', '동화책', '고전/명작']"
3,신을 죽인 여자들,클라우디아 피녜이로 지음; 엄지영 옮김,푸른숲,2023,873 피194ㅅ엄,9791160000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6512724%3Ftimestamp%3D20250222150634,"보르헤스 이후 가장 많은 언어로 번역된 아르헨티나의 대표 작가 클라우디아 피녜이로의 대표작 《신을 죽인 여자들》이 푸른숲에서 출간되었다. 30년 전, 온몸이 토막 난 채 불에 탄 소녀를 둘러싼 비밀을 풀어나가는 이번 작품은 그해 가장 뛰어난 범죄소설에게 수여되는 대실해밋상을 만장일치로 수상하였다. 평론가들로부터 도스토옙스키, 레이먼드 카버와 비교되는 한편 “모든 것을 갖추고 있었다”는 극찬을 받았다. 또한 아마존 평점 4.4점, 굿리즈 평점 4.2점을 기록하는 등 독자들에게도 압도적인 호평을 받으며 작품성과 대중성을 모두 갖춘 작품임을 증명해냈다. 각자 다른 종교에 대한 신념으로 인해 붕괴되는 한 가족의 모습을 그린 《신을 죽인 여자들》은 클라우디아 피녜이로가 그간 천착해온 주제가 집대성되어 있는 작품이다. 사회의 압제가 여성을 어떻게 망가뜨리는지, 종교가 개인에게 어떤 합리화의 명분을 주는지, 맹목적 진실 추구가 어떤 결과를 낳는지 등 거장의 면모를 확인할 수 있다. 범죄 소설의 한계를 넘어 한 정점에 오른 걸작을 지금 확인해보자.","['소설/시/희곡', '추리/미스터리소설', '기타국가 추리/미스터리소설']"
4,알파폴드: AI 신약개발 혁신,남궁석 지음,Biospectator (바이오스펙테이터),2024,518.44 남16ㅇ,9791190000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6578642%3Ftimestamp%3D20240915135105,"바야흐로 인공지능의 시대다. 인공지능은 인류 문명을 다방면에서 바꿔 왔으며, 특히 생명과학계에 변혁을 불러왔다. 그 중심에 알파폴드(Alphafold)가 있다. 2018년 12월에 구글 딥마인드가 발표한 단백질 구조 예측 인공지능인 알파폴드는 첫 등장부터 놀라운 성과를 보여 주었고, 2020년에는 예측 정확도를 더욱 높이며 실험 구조와 매우 유사한 결과를 내놓았다. 현재 소스 코드가 공개된 알파폴드는 실험구조생물학자에게 필수 도구로 자리 잡으며 신약개발이나 단백질 디자인 등에서 새로운 방향을 제시해 주고 있다. 《알파폴드: AI 신약개발 혁신》은 단백질 발견부터 단백질 구조생물학 그리고 알파폴드의 등장에 이르는 100여 년의 연구 역사를 다룬다. 알파폴드가 얼마나 대단한지 이해하려면 단백질이 인체에서 중요한 역할을 한다는 것과 험난했던 단백질 구조 예측 과정을 알아야 한다. 알파폴드의 직접적인 토대는 수십 년 동안 과학자들의 노력으로 축적한 단백질 구조 및 서열 정보 같은 데이터다. 이 책은 단백질의 정체를 밝혀 온 수많은 과학자의 성과를 소개하며, 알파폴드가 불러온 구조생물학과 생명과학의 변화를 짚어 본다. 이 책을 통해 단백질 구조 예측 기술과 이를 통한 신약개발의 미래를 진단해 보자.","['과학', '생명과학', '생명과학']"
5,맨큐의 경제학,"N. Gregory Mankiw 지음; 김경환, 김종석 옮김",센게이지러닝코리아,2021,320.1 M278p9Kㄱ,9788960000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5597921%3Ftimestamp%3D20250220145205,"『맨큐의 경제학』의 우리말 번역판 초판이 1999년 2월에 출간된 지 22년이 지났다. 그동안 『맨큐의 경제학』은 판을 거듭하면서 경제학 원론 교재로서뿐 아니라 경제학에 관심이 있는 일반 독자들의 입문서로도 분에 넘치는 사랑을 받아왔다. 무엇보다도 경제학의 기본 개념과 응용 사례를 명료하고 알기 쉽게 설명한 원서의 가치가 우리나라 독자들에게 제대로 전달되어 좋은 반응을 얻었다는 사실에 옮긴이로서 큰 기쁨과 보람을 느낀다. 『맨큐의 경제학』 번역판 초판이 아시아 외환 위기 직후에 기획되었는데, 2008년에 발발한 글로벌 금융 위기를 계기로 위기를 예측하지 못한 경제학자들과 경제학 자체의 무용론이 제기되기도 했다. 제9판이 출판되는 지금 전 세계는 2020년에 시작된 코로나 바이러스(COVID-19)의 거대한 충격에 대응하느라 부심하고 있다. 세상이 점점 더 복잡해지고 새로운 경제 현상과 그에 따른 정책접근이 대두됨에 따라 경제 현상과 정책에 대한 정확한 이해가 더 중요해지고 있다. 원서 제9판은 이전 판의 기본 골격을 유지하면서 일부 장의 설명을 보강하고 신문기사와 사례연구, 응용문제를 교체했다. 번역판은 이러한 변화를 최대한 소화했고, 부록인 우리나라 통계도 최근 자료로 보완했다. 이와 함께 본문을 전체적으로 재검토하여 보다 자연스러운 표현으로 다듬었다.","['대학교재/전문서적', '경상계열', '경제학']"
6,호빗,J.R.R. 톨킨 지음 ; 이미애 옮김,Arte(아르테),2021,843 톨878ㅎ,9788950000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5599178%3Ftimestamp%3D20230210142531,"용이 지키는 보물을 찾아 떠난 호빗 빌보의 흥미진진한 모험이 시작된다! 전 세계 1억 부 판매 신화! 아마존 독자 선정 세기 최고의 도서! 톨킨이 창조한 가운데땅 판타지의 서막! 톨킨의 가운데땅 이야기의 서막을 알린 작품! 톨킨이 직접 그린 일러스트 13점과 2장의 지도를 함께 수록! 국내 최초 50주년판 완역 전면 개정! 무서운 용 ‘스마우그’에게 빼앗긴 동쪽의 ‘외로운 산’을 되찾기 위한 난쟁이들과 마법사 간달프의 여정. 평화로운 일상을 살아가던 골목쟁이네 빌보는 이들의 여정에 휘말리면서 위험천만한 모험을 시작하게 된다. 톨킨의 가운데땅 이야기의 서막을 알린 작품 『호빗』은 1937년 출간 이후 베스트셀러로 등극하며 세계적으로 1억 부 이상 판매되었다. 이후 『호빗』에 등장했던 신기한 반지는 『반지의 제왕』에서 암흑군주 사우론의 힘을 상징하는 반지가 되고, 가운데땅의 여러 종족들과 사우론의 악의 세력들은 운명을 건 전투를 시작하게 된다. 2021년 새롭게 출간된 『호빗』은 초판 발행 당시 톨킨이 직접 그려 넣은 일러스트 13점과 두 장의 지도를 함께 넣었고, 크리스토퍼 톨킨이 편집한 50주년 기념판을 반영, 전면 개정 완역하였다. 또한 『호빗』 출간을 회고하는 크리스토퍼 톨킨의 서문을 수록하여 국내 톨킨 독자들이 원작의 풍미를 맛볼 수 있도록 하였다.","['소설/시/희곡', '판타지/환상문학', '외국판타지/환상소설']"
7,반지의 제왕. 3: 왕의 귀환,"J.R.R. 톨킨 지음 ; 김보원, 김번, 이미애 옮김",Arte(아르테),2021,843 톨878ㅂ v.3,9788950000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5599079%3Ftimestamp%3D20230210142805,"가운데땅의 운명이 걸린 최후의 전쟁이 시작되다! 전 세계 1억 부 판매 신화! 아마존 독자 선정 세기 최고의 도서! 〈해리 포터〉, 〈리그 오브 레전드〉 세계관의 원류! 현대문학을 대표하는 천재적인 작품! 20세기 판타지 문학의 걸작 『반지의 제왕』, 새롭게 태어나다! 국내 최초 60주년판 완역 전면 개정!","['소설/시/희곡', '판타지/환상문학', '외국판타지/환상소설']"
8,반지의 제왕. 2: 두 개의 탑,"J.R.R. 톨킨 지음 ; 김보원, 김번, 이미애 옮김",Arte(아르테),2021,843 톨878ㅂ v.2,9788950000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5598995%3Ftimestamp%3D20230223143251,"절대반지를 파괴하기 위해 모르도르로 향하는 두 호빗! 전 세계 1억 부 판매 신화! 아마존 독자 선정 세기 최고의 도서! 〈해리 포터〉, 〈리그 오브 레전드〉 세계관의 원류! 현대문학을 대표하는 천재적인 작품! 20세기 판타지 문학의 걸작 『반지의 제왕』, 새롭게 태어나다! 국내 최초 60주년판 완역 전면 개정!","['소설/시/희곡', '판타지/환상문학', '외국판타지/환상소설']"
9,반지의 제왕. 1: 반지원정대,"J.R.R. 톨킨 지음 ; 김보원, 김번, 이미애 옮김",Arte(아르테),2021,843 톨878ㅂ v.1,9788950000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5599085%3Ftimestamp%3D20230223143251,"가운데땅 역사상 가장 스펙터클한 원정이 시작되다! 전 세계 1억 부 판매 신화! 아마존 독자 선정 세기 최고의 도서! 〈해리 포터〉, 〈리그 오브 레전드〉 세계관의 원류! 현대문학을 대표하는 천재적인 작품! 20세기 판타지 문학의 걸작 『반지의 제왕』, 새롭게 태어나다! 국내 최초 60주년판 완역 전면 개정!","['소설/시/희곡', '판타지/환상문학', '외국판타지/환상소설']"
