연도,시도,행정구,교육지원청,학교급,고등학교유형,학교세부유형,학교명,본분교,설립,상태,지역규모,학교개교일,우편번호,도로명주소,전화번호,팩스번호,홈페이지,학생수,도서관(실)수,좌석수,장서수,Unnamed: 22,Unnamed: 23,사서,사서교사,직원(사서자격증보유여부),Unnamed: 27,Unnamed: 28,예산액(단위:원),Unnamed: 30,Unnamed: 31,좌석당학생수,1인당장서수
2022,서울,종로구,서울시,고등학교,일반고,일반고등학교,경복고등학교,본교,공립,기존(원)교,특별/광역시,19210502,030-47 ,서울특별시 종로구 자하문로28가길 9 . 경복고등학교 (청운동.경복고등학교),02-397-5214,02-736-0422,http://kyungbock.sen.hs.kr,596,1,85,33645,31772,1873,1,1.0,0,0,0,22150000,16600000,5550000,7.0,56.5
2022,서울,종로구,서울시,고등학교,일반고,일반고등학교,경신고등학교,본교,사립,기존(원)교,특별/광역시,18850509,030-67 ,서울특별시 종로구 혜화로 74 (혜화동.경신중고등학교),02-762-0393,02-762-0387,http://kyungshin.sen.hs.kr,465,1,50,19180,18468,712,1,1.0,0,0,0,16000000,15500000,500000,9.3,41.2
2022,서울,종로구,서울시,고등학교,일반고,일반고등학교,대신고등학교,본교,사립,기존(원)교,특별/광역시,19380405,030-29 ,서울특별시 종로구 사직로 9 (행촌동),070-4612-7802,02-722-3520,http://daeshin.sen.hs.kr,388,1,48,18997,18673,324,1,1.0,0,0,0,22425000,15000000,7425000,8.1,49.0
2022,서울,종로구,서울시,고등학교,일반고,일반고등학교,동성고등학교,본교,사립,기존(원)교,특별/광역시,19381208,030-83 ,서울특별시 종로구 대학로 156 (혜화동.동성중고교),02-3671-9197,02-765-8239,http://www.dongsung.hs.kr,590,1,60,25612,25032,580,2,1.0,0,0,0,16600000,10000000,6600000,9.8,43.4
2022,서울,종로구,서울시,고등학교,자율고,일반고등학교,중앙고등학교,본교,사립,기존(원)교,특별/광역시,19080620,030-51 ,서울특별시 종로구 창덕궁길 164 (계동. 중앙고등학교),02-742-1321,02-745-6322,http://choongang.sen.hs.kr/,829,1,80,23448,23347,101,1,1.0,0,0,0,13600000,11300000,2300000,10.4,28.3
2022,서울,종로구,서울시,고등학교,일반고,일반고등학교,덕성여자고등학교,본교,사립,기존(원)교,특별/광역시,19200419,030-61 ,서울특별시 종로구 율곡로3길 50 . 덕성여자고등학교 (안국동),02-734-6871,02-732-5569,https://duksung.sen.hs.kr,604,1,46,9742,9742,0,1,1.0,0,0,0,6000000,5000000,1000000,13.1,16.1
2022,서울,종로구,서울시,고등학교,일반고,일반고등학교,배화여자고등학교,본교,사립,기존(원)교,특별/광역시,18981002,030-39 ,서울특별시 종로구 필운대로1길 34 (필운동.배화여자고등학교),02-724-0308,02-723-0752,http://paiwha.sen.hs.kr,518,1,60,26306,25427,879,2,1.0,0,0,0,11700000,10000000,1700000,8.6,50.8
2022,서울,종로구,서울시,고등학교,일반고,일반고등학교,상명대학교사범대학부속여자고등학교,본교,사립,기존(원)교,특별/광역시,19670307,030-16 ,서울특별시 종로구 홍지문2길 20 (홍지동.상명대학교),02-396-6300,02-396-6305,http://sangmyung-agh.hs.kr,423,1,60,18862,18547,315,1,1.0,0,0,0,16940000,10000000,6940000,7.1,44.6
2022,서울,종로구,서울시,고등학교,특목고,과학고등학교,서울과학고등학교,본교,공립,기존(원)교,특별/광역시,19880914,030-66 ,서울특별시 종로구 혜화로 63 (명륜1가),02-740-6299,02-741-1368,http://www.sshs.hs.kr,383,1,15,25815,25696,119,0,0.0,0,0,0,34480000,20000000,14480000,25.5,67.4
2022,서울,종로구,서울시,고등학교,특목고,예술고등학교,서울예술고등학교,본교,사립,기존(원)교,특별/광역시,19530321,030-11 ,서울특별시 종로구 평창문화로 70 (평창동),02-2287-0505,02-2287-0405,http://www.yego.or.kr,1074,1,95,18030,15955,2075,1,1.0,0,0,0,9950000,6000000,3950000,11.3,16.8
