No,자료유형,등록번호,자료명,저자,출판사,출판년도,청구기호,자료상태,소장처,화폐구분,가격,ISBN
1,단행본,KM00149077,(캠벨) 생명과학. 2: 6~8단원,Neil A. Campbell 외 지음; 전상학 외 역,바이오사이언스,2022,470 캠44ㅅ전-12 v.2 c.2,대출가능,자료실,￦,60000,9788968241260
2,단행본,KM00149076,(캠벨) 생명과학. 2: 6~8단원,Neil A. Campbell 외 지음; 전상학 외 역,바이오사이언스,2022,470 캠44ㅅ전-12 v.2,대출가능,자료실,￦,60000,9788968241260
3,단행본,KM00149073,The giver,Lois Lowry,Houghton Mifflin Harcourt,1993,843 L921g,대출가능,신착도서,＄,9.99,9780544442207
4,단행본,KM00149072,Holes,Louis Sachar,Laurel leaf newbery,2023,843 L888h,대출가능,신착도서,＄,8.99,9780440228592
5,단행본,KM00149071,신을 죽인 여자들,클라우디아 피녜이로 지음; 엄지영 옮김,푸른숲,2023,873 피194ㅅ엄,대출가능,신착도서,￦,18500,9791156754497
6,단행본,KM00149070,알파폴드: AI 신약개발 혁신,남궁석 지음,Biospectator (바이오스펙테이터),2024,518.44 남16ㅇ,대출중,신착도서,￦,30000,9791191768084
7,단행본,KM00149069,맨큐의 경제학,"N. Gregory Mankiw 지음; 김경환, 김종석 옮김",센게이지러닝코리아,2021,320.1 M278p9Kㄱ,대출가능,자료실,￦,47000,9788962185027
8,단행본,KM00149068,호빗,J.R.R. 톨킨 지음 ; 이미애 옮김,Arte(아르테),2021,843 톨878ㅎ,대출가능,자료실,￦,39800,9788950992521
9,단행본,KM00149067,반지의 제왕. 3: 왕의 귀환,"J.R.R. 톨킨 지음 ; 김보원, 김번, 이미애 옮김",Arte(아르테),2021,843 톨878ㅂ v.3,대출가능,자료실,￦,49800,9788950992484
10,단행본,KM00149066,반지의 제왕. 2: 두 개의 탑,"J.R.R. 톨킨 지음 ; 김보원, 김번, 이미애 옮김",Arte(아르테),2021,843 톨878ㅂ v.2,대출가능,자료실,￦,49800,9788950992477
11,단행본,KM00149065,반지의 제왕. 1: 반지원정대,"J.R.R. 톨킨 지음 ; 김보원, 김번, 이미애 옮김",Arte(아르테),2021,843 톨878ㅂ v.1,대출가능,자료실,￦,49800,9788950992460
12,단행본,KM00149064,찬란한 멸종,이정모 지음,다산북스,2024,476.7 이74ㅊ,대출가능,신착도서,￦,21000,9791130655017
13,단행본,KM00149063,(내 몸 안의 숨겨진 비밀) 해부학,사카이 다츠오 지음; 윤혜림 옮김,전나무숲,2019,511.4 사872ㅎ윤,대출가능,신착도서,￦,20000,9791188544387
14,단행본,KM00149062,보건의료통계학,정상진; 박일순 지음,보문각,2022,517.073 정52ㅂ,대출가능,신착도서,￦,27000,9788962204513
15,단행본,KM00149061,패널데이터와 복합표본을 활용한 한번에 적용하는 의학보건통계,히든 그레이스 데이터분석팀 지음,한빛아카데미,2023,517.073 히27ㅍ,대출가능,신착도서,￦,34000,9791156646655
16,단행본,KM00149060,일반화학실험,권찬호 [외] 지음,자유아카데미,2022,432 권82ㅇ,대출가능,신착도서,￦,16000,9791158083496
