자료명,저자,출판사,출판년도,소장처
(캠벨) 생명과학. 2: 6~8단원,Neil A. Campbell 외 지음; 전상학 외 역,바이오사이언스,2022,자료실
(캠벨) 생명과학. 2: 6~8단원,Neil A. Campbell 외 지음; 전상학 외 역,바이오사이언스,2022,자료실
The giver,Lois Lowry,Houghton Mifflin Harcourt,1993,신착도서
Holes,Louis Sachar,Laurel leaf newbery,2023,신착도서
신을 죽인 여자들,클라우디아 피녜이로 지음; 엄지영 옮김,푸른숲,2023,신착도서
알파폴드: AI 신약개발 혁신,남궁석 지음,Biospectator (바이오스펙테이터),2024,신착도서
맨큐의 경제학,"N. Gregory Mankiw 지음; 김경환, 김종석 옮김",센게이지러닝코리아,2021,자료실
호빗,J.R.R. 톨킨 지음 ; 이미애 옮김,Arte(아르테),2021,자료실
반지의 제왕. 3: 왕의 귀환,"J.R.R. 톨킨 지음 ; 김보원, 김번, 이미애 옮김",Arte(아르테),2021,자료실
반지의 제왕. 2: 두 개의 탑,"J.R.R. 톨킨 지음 ; 김보원, 김번, 이미애 옮김",Arte(아르테),2021,자료실
반지의 제왕. 1: 반지원정대,"J.R.R. 톨킨 지음 ; 김보원, 김번, 이미애 옮김",Arte(아르테),2021,자료실
찬란한 멸종,이정모 지음,다산북스,2024,신착도서
(내 몸 안의 숨겨진 비밀) 해부학,사카이 다츠오 지음; 윤혜림 옮김,전나무숲,2019,신착도서
보건의료통계학,정상진; 박일순 지음,보문각,2022,신착도서
패널데이터와 복합표본을 활용한 한번에 적용하는 의학보건통계,히든 그레이스 데이터분석팀 지음,한빛아카데미,2023,신착도서
일반화학실험,권찬호 [외] 지음,자유아카데미,2022,신착도서
삶은 그렇게 납작하지 않아요,김나리 지음,ㅊㄴㅁ(책나물),2024,신착도서
삶의 발명,정혜윤 지음,위고,2023,신착도서
"인구 감소, 부의 대전환",전영수 지음,21세기북스,2024,신착도서
다중물리 3차원 해석,이승배; 이철희 공지음,Yas (야스),2024,자료실
과학을 보다. 2,김범준 [외] 지음; 김지원 그림,알파미디어,2024,신착도서
(기초부터 탄탄하게) 처음 듣는 의대 강의,안승철 지음,궁리,2018,신착도서
의대를 꿈꾸는 대한민국의 천재들,이종훈 지음,한언,2020,신착도서
생명의 물리학,찰스 S. 코켈 지음; 노승영 옮김,열린책들,2021,신착도서
다중물리 3차원 해석,이승배; 이철희 공지음,Yas (야스),2024,신착도서
수학은 어떻게 문명을 만들었는가,마이클 브룩스 지음; 고유경 옮김,Bronstein,2022,신착도서
화이트홀,카를로 로벨리 지음; 김정훈 옮김,쌤앤파커스,2024,신착도서
처음 만나는 문화인류학,한국문화인류학회,일조각,2003,자료실
처음 만나는 문화인류학,한국문화인류학회,일조각,2003,자료실
처음 만나는 문화인류학,한국문화인류학회,일조각,2003,자료실
처음 만나는 문화인류학,한국문화인류학회,일조각,2003,자료실
처음 만나는 문화인류학,한국문화인류학회,일조각,2003,자료실
낯선 곳에서 나를 만나다,한국문화인류학회 엮음,일조각,2006,자료실
낯선 곳에서 나를 만나다,한국문화인류학회 엮음,일조각,2006,자료실
낯선 곳에서 나를 만나다,한국문화인류학회 엮음,일조각,2006,자료실
낯선 곳에서 나를 만나다,한국문화인류학회 엮음,일조각,2006,자료실
낯선 곳에서 나를 만나다,한국문화인류학회 엮음,일조각,2006,자료실
깨끗한 존경,이슬아 지음,헤엄출판사,2019,신착도서
어떤 비밀,최진영 지음,난다,2024,신착도서
까다롭게 좋아하는 사람,엄지혜 지음,마음산책,2024,신착도서
한 사람의 노래가 온 거리에 노래를,신경림 외 지음,창비,2024,신착도서
아침은 생각한다,문태준 지음,창비,2022,신착도서
(내가 만난) 소년에 대하여,천종호 지음; 이희은 그림,우리학교,2021,신착도서
명랑한 은둔자,캐럴라인 냅 지음; 김명남 옮김,바다출판사,2020,신착도서
너무 잘하려고 애쓰지 마라,나태주 지음,열림원,2022,신착도서
"여성, 귀신이 되다",전혜진 지음,현암사,2021,신착도서
나비가면,박지웅 지음,문학동네,2021,신착도서
살 것만 같던 마음,이영광 지음,창비,2024,신착도서
이것은 농담에 가깝습니다,이명윤 지음,걷는사람,2024,신착도서
빛 속에서 이룰 수 없는 일은 얼마나 많았던가,허수경 [외] 지음,문학과지성사,2023,신착도서
노동을 보는 눈,강수돌 지음,개마고원,2012,신착도서
별을 잇는 손,무라야마 사키 지음; 류순미 옮김,클,2019,신착도서
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이치조 마사키 지음; 권영주 옮김,모모,2021,신착도서
1등의 습관,찰스 두히그 지음; 강주헌 옮김,Alfred (알프레드),2016,신착도서
침묵을 배우는 시간,코르넬리아 토프 지음; 장혜경 옮김,서교책방,2024,신착도서
이것은 이름들의 전쟁이다,리베카 솔닛 지음; 김명남 옮김,창비,2018,신착도서
이종욱 평전,데스몬스 에버리 지음; 이한중 옮김,나무와숲,2020,신착도서
새파란 돌봄,조기현 지음,이매진,2022,신착도서
국과수에서 일하는 상상 어때?,권미아; 이다혜 지음,창비,2024,신착도서
우리가 수학을 사랑하는 이유,전혜진 지음; 다드래기 그림,지상의책,2021,신착도서
"예술, 문학, 정신분석",지크문트 프로이트 지음; 정장진 옮김,열린책들,2020,신착도서
낙인이라는 광기,스티븐 힌쇼 지음; 신소희 옮김,아몬드,2022,신착도서
불안 세대,조너선 하이트 지음; 이충호 옮김,웅진지식하우스,2024,신착도서
