No,순위,서명,저자,분류기호,횟수,백분율
1,1,"철학,역사를 만나다",안광복 지음,100,59,1.48%
2,2,소년이 온다,한강,813.6,52,1.31%
3,3,타인의 고통,수전 손택 지음; 이재원 옮김,334.4,51,1.28%
4,3,파놉티콘,제러미 벤담 지음; 신건수 옮김,364.61,51,1.28%
5,4,엔트로피,제레미 리프킨 지음; 이창희 옮김,331.54,47,1.18%
6,5,아내를 모자로 착각한 남자,올리버 색스 지음; 조석현 옮김; 이정호 그림,513.8,46,1.16%
7,6,한국 문화재 수난사,이구열,608.0911,45,1.13%
8,6,세상을 바꾼 위대한 오답,김용관 지음,410.9,45,1.13%
9,7,이기적 유전자,리처드 도킨스 [지음],476.1,44,1.11%
10,8,수학 인문으로 수를 읽다,이광연 지음,410,43,1.08%
11,9,미적분으로 바라본 하루,오스카 E. 페르난데스 지음; 김수환 옮김,414.1,42,1.06%
12,9,빛의 물리학,EBS다큐프라임<빛의물리학>제작팀,420,42,1.06%
13,9,침묵의 봄,레이첼 카슨 [지음] ; 김은령 [옮김],539.98,42,1.06%
14,9,채식주의자,한강 지음,813.6,42,1.06%
15,9,페스트,알베르 카뮈 [지음];김화영 [옮김],863,42,1.06%
16,10,이중나선,제임스 왓슨[지음];최돈찬 [옮김],474.3282,41,1.03%
17,10,과학혁명의 구조,"토머스 S. 쿤 지음;김명자, 홍성욱 옮김",401,41,1.03%
18,10,건강 격차,마이클 마멋 지음; 김승진 옮김,517,41,1.03%
19,10,멋진 신세계,올더스 헉슬리,843,41,1.03%
20,11,수학의 언어로 세상을 본다면,"오구리히로시 지음; 서혜숙,고선윤 공옮김",410,40,1.0%
21,11,탄소 문명,사토 겐타로 지음; 권은희 옮김,435.6,40,1.0%
22,12,권력과 인간,정병설 지음,911.058,39,0.98%
23,12,통계의 거짓말,"게르트 보스바흐, 옌스 위르겐 코르프 공저; 강희진 옮김",413,39,0.98%
24,12,수학 시트콤,크리스토프 드뢰서 지음;전대호 옮김;이우일 그림,410.4,39,0.98%
