"자료명","저자","출판사","출판년도","소장처","ISBN","카카오제목","카카오작가","카카오번역자","카카오ISBN","카카오출판사","카카오출간일","카카오썸네일","카카오URL","책소개"
"Holes","Louis Sachar","Laurel leaf newbery","2023","신착도서","9780440228592 ","Holes","","","9780440228592.0","","2001-08-14","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6191187%3Ftimestamp%3D20250409154701","https://search.daum.net/search?w=bookpage&bookId=6191187&q=Holes"," "
"모리와 함께한 화요일","미치 앨봄","세종 서적","2001","자료실","8985509993 ","모리와 함께한 화요일","미치 앨봄","공경희","9788985509992.0","세종서적","1998-06-10","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1215844%3Ftimestamp%3D20211031150416","https://search.daum.net/search?w=bookpage&bookId=1215844&q=%EB%AA%A8%EB%A6%AC%EC%99%80+%ED%95%A8%EA%BB%98%ED%95%9C+%ED%99%94%EC%9A%94%EC%9D%BC"," "
"지리 선생님, 스크린에 풍덩!","전국사회과교과연구회 지음","서해문집","2011","자료실","9788974834753 ","지리 선생님 스크린에 풍덩","전국사회과교과연구회","","9788974834753.0","서해문집","2011-07-20","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1050224%3Ftimestamp%3D20221025145833","https://search.daum.net/search?w=bookpage&bookId=1050224&q=%EC%A7%80%EB%A6%AC+%EC%84%A0%EC%83%9D%EB%8B%98+%EC%8A%A4%ED%81%AC%EB%A6%B0%EC%97%90+%ED%92%8D%EB%8D%A9"," "
"파인만의 여섯가지 물리이야기","리처드 파인만 강의; 폴 데이비스 서문; 박병철 옮김","승산","2007","자료실","9788988907429 ","파인만의 여섯가지 물리 이야기(양장본 HardCover)","리처드 파인만","박병철","9788988907429.0","승산","2003-01-06","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1283154%3Ftimestamp%3D20220909223236","https://search.daum.net/search?w=bookpage&bookId=1283154&q=%ED%8C%8C%EC%9D%B8%EB%A7%8C%EC%9D%98+%EC%97%AC%EC%84%AF%EA%B0%80%EC%A7%80+%EB%AC%BC%EB%A6%AC+%EC%9D%B4%EC%95%BC%EA%B8%B0%28%EC%96%91%EC%9E%A5%EB%B3%B8+HardCover%29"," "
"세포의 반란","로버트 와인버그 지음; 조혜성, 안성민 옮김","사이언스북","2015(5쇄)","자료실","9788983719454 ","세포의 반란(사이언스 마스터스 5)(양장본 HardCover)","로버트 와인버그","안성민","9788983719454.0","사이언스북스","2015-05-22","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1169796%3Ftimestamp%3D20220925184506","https://search.daum.net/search?w=bookpage&bookId=1169796&q=%EC%84%B8%ED%8F%AC%EC%9D%98+%EB%B0%98%EB%9E%80%28%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4+%EB%A7%88%EC%8A%A4%ED%84%B0%EC%8A%A4+5%29%28%EC%96%91%EC%9E%A5%EB%B3%B8+HardCover%29"," "
"페르마의 마지막 정리","사이먼 싱 지음; 박병철 옮김","영림카디널","1998","자료실","8985055976 ","페르마의 마지막 정리(2판)(갈릴레오총서 3)","사이먼 싱","박병철","9788985055970.0","영림카디널","2004-02-25","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1210195%3Ftimestamp%3D20220909221203","https://search.daum.net/search?w=bookpage&bookId=1210195&q=%ED%8E%98%EB%A5%B4%EB%A7%88%EC%9D%98+%EB%A7%88%EC%A7%80%EB%A7%89+%EC%A0%95%EB%A6%AC%282%ED%8C%90%29%28%EA%B0%88%EB%A6%B4%EB%A0%88%EC%98%A4%EC%B4%9D%EC%84%9C+3%29"," "
"리만 가설","존 더비셔 지음; 박병철 옮김","승산","2006","자료실","9788988907887 ","리만 가설(양장본 HardCover)","존 더비셔","박병철","9788988907887.0","승산","2006-10-10","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1289155%3Ftimestamp%3D20221011170855","https://search.daum.net/search?w=bookpage&bookId=1289155&q=%EB%A6%AC%EB%A7%8C+%EA%B0%80%EC%84%A4%28%EC%96%91%EC%9E%A5%EB%B3%B8+HardCover%29"," "
"기초양자역학","Bruce Cameron Reed 지음; 김영태 역","청범출판사(Jones and Bartlett Publishers)","2008","자료실","9788988247440 ","기초 양자역학","BRUCE CAMERON REED","김영태","9788988247440.0","청범출판사","2008-08-25","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1267147%3Ftimestamp%3D20220825195452","https://search.daum.net/search?w=bookpage&bookId=1267147&q=%EA%B8%B0%EC%B4%88+%EC%96%91%EC%9E%90%EC%97%AD%ED%95%99"," "
"실해석학","David M. Bressoud 지음; 허민 옮김","敎友社","2009","자료실","9788981727840 ","실해석학: 전혀 새로운 접근(2판)(양장본 HardCover)","DAVID M BRESSOUD","허민","9788981727840.0","교우사","2009-03-02","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1137258%3Ftimestamp%3D20221025114602","https://search.daum.net/search?w=bookpage&bookId=1137258&q=%EC%8B%A4%ED%95%B4%EC%84%9D%ED%95%99%3A+%EC%A0%84%ED%98%80+%EC%83%88%EB%A1%9C%EC%9A%B4+%EC%A0%91%EA%B7%BC%282%ED%8C%90%29%28%EC%96%91%EC%9E%A5%EB%B3%B8+HardCover%29"," "
"醫學的 人間學","진교훈 지음","서울대학교출판부","2003","자료실","8952103378 ","의학적 인간학:의학철학의 기초","진교훈","","9788952103376.0","서울대학교출판부","2002-02-28","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F631590%3Ftimestamp%3D20190124030238","https://search.daum.net/search?w=bookpage&bookId=631590&q=%EC%9D%98%ED%95%99%EC%A0%81+%EC%9D%B8%EA%B0%84%ED%95%99%3A%EC%9D%98%ED%95%99%EC%B2%A0%ED%95%99%EC%9D%98+%EA%B8%B0%EC%B4%88"," "
