"자료명","저자","출판사","출판년도","소장처","ISBN","카카오제목","카카오작가","카카오번역자","카카오ISBN","카카오출판사","카카오출간일","카카오썸네일","카카오URL","책소개"
"(Kandel)신경과학의 원리. Vol.2: Part6~Part9","Eric R. Kandel 외 지음; 강봉균 외 역","범문에듀케이션","2014","자료실","9791185305387 ","","","","","","","","",""
"(Kandel) 신경과학의 원리. Vol.1: Part1~Part5","Eric R. Kandel 외 지음; 강봉균 외 역","범문에듀케이션","2014","자료실","9791185305370 ","","","","","","","","",""
"가을비망록","이현정 지음","이랑과이삭","2018","자료실","9788993090390 ","","","","","","","","",""
"틈. 생명의 집","이운룡 지음","이랑과이삭","2018","자료실","9788993090406 ","","","","","","","","",""
"(박근혜정권퇴진)촛불의 기록. 2","기록기념위원회 지음","박근혜정권퇴진비상국민행동기록기념위원회","2018","자료실","9791196434922 ","","","","","","","","",""
"(박근혜정권퇴진)촛불의 기록. 1","기록기념위원회 지음","박근혜정권퇴진비상국민행동기록기념위원회","2018","자료실","9791196434915 ","","","","","","","","",""
"생명나무 오천년 무궁화꽃이 피었습니다","이봉식 지음","사색의나무","2016","자료실","9791195826728 ","","","","","","","","",""
"곰팡이도감. 2","이헌준 대표저가; 오기봉,양형철,박종철,박봉주,나혜진 공동저자","한국곰팡이연구회:학술정보센터","2014","자료실","9788994174099 ","","","","","","","","",""
"곰팡이도감. 1","이헌준 대표저자; 오기봉,양형철,박종철,박봉주,나혜진 공동저자","한국곰팡이연구회:학술정보센터","2014","자료실","9788994174082 ","","","","","","","","",""
"한국의 원생생물. 1","최중기 외 37명 지음","학술정보센터:한국원생생물학회","2016","자료실","9788994174112 ","","","","","","","","",""
"독립운동 현장읽기. 1: 구국계몽운동편","독립기념관 한국독립운동사연구소 편","독립기념관 한국독립운동사연구소","2016","자료실","9788964680728 ","","","","","","","","",""
"транссиби？рский ночь","Songjongchan","pushkin house","2016","자료실","9785000871072 ","","","","","","","","",""
"(제3회) 김승옥문학상 작품집","김경욱 외 지음","도서출판 강","2015","자료실","9788982182068 ","","","","","","","","",""
"(전재산을 독립자그므로 헌납한)이인식과 그 시대","이인식선생 추모문집 편찬위원회 편저","홍익재","2015","자료실","9788971433782 ","","","","","","","","",""
"6.25 전쟁 현장 읽기","김선명","독립기념관 한국독립운동사연구소","2014","자료실","9788964680636 ","","","","","","","","",""
"(핵심을 콕콕!)쉽고 재미있는 경제공부","권익선;류동한 지음;박철한 감수","프리이코노미스쿨","2014","자료실","9788988807729 ","","","","","","","","",""
"독립운동 사적지를 찾아서. 3: 경상. 제주","독립기념관 한국독립운동사연구소 편","국가보훈처","2010","자료실","9788964680469 ","","","","","","","","",""
"독립운동 사적지를 찾아서. 2: 충청. 전라","독립기념관한국독립운동사연구소 편","국가보훈처","2010","자료실","9788964680452 ","","","","","","","","",""
"독립운동 사적지를 찾아서. 1: 서울. 경기. 강원","독립기념관한국독립운동사연구소 편","국가보훈처","2010","자료실","9788964680445 ","","","","","","","","",""
"국가수호 사적지를 찾아서","독립기념관한국독립운동사연구소 편","국가보훈처","2012","자료실","9788964680476 ","","","","","","","","",""
"Shin, Ae-Seon","신애선","미술세계","2012","자료실","9788966240548 ","","","","","","","","",""
"독일에 관한 모든 것","독일외무부","sodietats","2010","자료실","9783797312099 ","","","","","","","","",""
"조선독립의 서 외","한용운 지음;권영민 엮음","태학사","2011","자료실","9788959664528 ","","","","","","","","",""
"스포츠는 세상을 바꾸는 힘이다","맥스미디어편집부","국민체육진흥공단","2011","자료실","9788991976313 ","","","","","","","","",""
"(한국 화약산업의 개척자)현암 김종희","유영수","홍익출판사","2010","자료실","9788970652603 ","","","","","","","","",""
"(한국 강관산업의 선구자 SeAH)해암 이종덕","유영수","홍익출판사","2010","자료실","9788970652610 ","","","","","","","","",""
"브리스베인강가에는 맹그로브가 자라고 있다","윤현덕","인포피아","2010","자료실","9788996022381 ","","","","","","","","",""
"(풀어서 본)반민특위 재판기록. Ⅳ","정운현","선인","2009","자료실","9788959331734 ","","","","","","","","",""
"(풀어서 본)반민특위 재판기록. Ⅲ","정운현","선인","2009","자료실","9788953991727 ","","","","","","","","",""
"(풀어서 본)반민특위 재판기록. Ⅱ","정운현","선인","2009","자료실","9788959331710 ","","","","","","","","",""
"사랑으로 아름다운 세상을","배연창","아이에스","2008","자료실","9788996165507 ","","","","","","","","",""
"저절로 연상영어 (하). 2","박순복","생각하는 오늘","2005","자료실","8995643528 ","","","","","","","","",""
"저절로 연상영어 (상). 1","박순복","생각하는 오늘","2005","자료실","899564351X","","","","","","","","",""
"일제 식민시대 구술실록","전주문화재단","전주문화재단","2007","자료실","9788992821117 ","","","","","","","","",""
"한국문화대사전 찾아보기","신기철","한국문화대사전간행위원회","2008","자료실","9788987087191 ","","","","","","","","",""
"한국문화대사전 화보집","신기철","한국문화대사전간행위원회","2008","자료실","9788987087184 ","","","","","","","","",""
