"자료명","저자","출판사","출판년도","소장처","ISBN","카카오제목","카카오작가","카카오번역자","카카오ISBN","카카오출판사","카카오출간일","카카오썸네일","카카오URL","책소개","알라딘표지","알라딘ISBN13","알라딘설명","알라딘카테고리ID","알라딘카테고리명"
"(유가의 길을 엿보는)논어 이야기. 상","민경옥 엮음","BOOKK(부크크)","2015","자료실","9791158114893 ","논어이야기(상)","민경옥","","9791158114893.0","부크크(Bookk)","2015-12-16","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F4960630%3Ftimestamp%3D20250404131336","https://search.daum.net/search?w=bookpage&bookId=4960630&q=%EB%85%BC%EC%96%B4%EC%9D%B4%EC%95%BC%EA%B8%B0%28%EC%83%81%29","저 산등성이의 끝자락은 하늘에 맞닿아 있습니다. 혹여 그 라인을 둘레로 저 하늘이 끝처럼 보일 수도 있을 것입니다. 그러나 조금만 시선을 들어보면 저 하늘은 끝없이 끝없이 펼쳐저 우리들 에게 한없는 손짓을 하고 있습니다. 때로는 이처럼 푸른 하늘이 저마다의 손아귀에 금방이라도 잡힐 듯, 잡힐 듯 하였건마는, 끝끝내 잡지 못하고 스러져간 수 많은 분들이 있었습니다. 그래서 어떤 노 수행자는 그저 선택받지 못함을 늙그막에 알게 되었다 고 고백합니다. 대저 하늘은 무심하고, 성인은 무정하다고 전하였습니다. 그러하기에 더 더욱 사람들의 마음은 피폐해져가고, 인간의 근원을 다룬다 고 할 수 있는 인문학은 휴머니즘에 뿌리를 두지 않고 온갖 시험문제의 정답을 맞추면 그만인 소도구로 전락하고 말았습니다. 이 논어 이야기라는 책은 고심 끝에 시작된 하나의 글입니다만, 어쩌면 요즘처럼 다양한 정보와 글들이 넘쳐나는 세상에 추가되는 또 하 나, 한 권의 책으로 덧 쌓여져 갈지는 모르겠습니다. 하지만 한 개인과 가 족이 인간에 대한 수 십년의 고뇌와 그러한 삶을 추구하며 뼈가 저미도록 겪고서 미약하나마 우러난 부유물들을 건져내어 적었기에, 혹여 세상에는 무의미한 깃털하나가 바람에 흩날릴지언정 제 삶에의 회한은 그에 비례하 여 가벼워짐을 몸소 느끼는 바입니다. 무릇 인간이란 생명을 부여받은 그 순간부터 무언가에 대한 기다리는 일 을 반복하게 되는데, 그 기다림의 목적은 저마다 다를지라도 결국은 단 하 나로 똑 같은 게 있습니다. 어쩌면 저는 그 기다리는 일에 지쳐있는지도 모릅니다. 앞서에 오셨던 많은 분들처럼 말입니다. 여기 이 글을 읽고 한 사람이 깨우침에 도움이 있다고 해도, 하늘과 땅에 미력하게나마 할 바를 한 게 되었다 여기고 싶고, 한 사람이 깨우침에 뜻 을 두었다하면 내 삶에 할 바를 한 게 되었다 여기고 싶습니다. 그리고 이제야 알았습니다. 제가 이 논어 이야기를 적었던 까닭을 말입니다. 배우기로, 훗날의 많은 도덕군자가 이 땅에 출세하여 온 세상을 태고의 치 세로 만들려 시도하실 것이라 하였습니다. 어차피 이 글에 부족함이 없을 수는 없을 것을 익히 아는 바이기에 훗날의 도덕군자께서 흠결됨을 바로 잡아주시길 기대하면서 서문을 마칩니다. 2015년 5월 24일 세상의 어느 모퉁이에서 적었습니다. - 논어 이야기 서문 중에서 - ","https://image.aladin.co.kr/product/10661/16/coversum/k712530344_1.jpg","9791158114893","","51504","국내도서>인문학>동양철학>유교철학/주역>공자/논어"
"의학, 인문으로 치유하다","예병일 지음","한국문학사","2018(5쇄)","자료실","9788987527390 ","의학, 인문으로 치유하다","예병일","","9788987527390.0","한국문학사","2015-03-05","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1256203%3Ftimestamp%3D20250408113512","https://search.daum.net/search?w=bookpage&bookId=1256203&q=%EC%9D%98%ED%95%99%2C+%EC%9D%B8%EB%AC%B8%EC%9C%BC%EB%A1%9C+%EC%B9%98%EC%9C%A0%ED%95%98%EB%8B%A4","각 학문을 관통하는 기본 개념을 소개하고 다른 학문과의 융합을 시도하는 「융합과 통섭의 지식 콘서트」제4권 『의학, 인문으로 치유하다』. 이 책은 의학의 기본 개념과 의료 현장에서 빚어지는 여러 현상, 그리고 앞으로 나아가야 할 방향을 다른 분야의 학문과 연계하여 살펴본다. 의사를 꿈꾸거나 의학에 관심 가진 모든 사람을 흥미로운 의학의 세계로 인도할 것이다.  현재 연세대학교 원주의과대학에서 의학도들을 길러내고 있는 저자는 이러한 취지의 일환으로 의학이 지닌 다양한 측면을 소개하면서, 의학이란 학문을 이해하는 방법과 그것이 나아가야 할 방향을 제시한다. 다양한 분야와 관련된 의학을 소개함으로써 실험실 속에 갇혀 있는 의학이 아니라 무엇보다 인간 삶에 밀착된 의학이란 학문을 좀 더 가깝게 느끼도록 해준다. ","https://image.aladin.co.kr/product/5380/61/coversum/8987527395_3.jpg","9788987527390","융합과 통섭의 지식 콘서트 4권. 다양한 분야와 관련된 의학을 소개함으로써 실험실 속에 갇혀 있는 의학이 아니라 무엇보다 인간 삶에 밀착된 의학이란 학문을 좀 더 가깝게 느끼도록 해준다. 흔히 의학은 전문가만이 다룰 수 있는 어려운 학문으로 여겨진다.","51272","국내도서>과학>의학"
"오늘도 미세먼지 나쁨","김동환 지음","휴머니스트(Humanist)","2018","자료실","9791160801347 ","오늘도 미세먼지 나쁨","김동환","","9791160801347.0","휴머니스트","2018-04-30","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1597946%3Ftimestamp%3D20230616192049","https://search.daum.net/search?w=bookpage&bookId=1597946&q=%EC%98%A4%EB%8A%98%EB%8F%84+%EB%AF%B8%EC%84%B8%EB%A8%BC%EC%A7%80+%EB%82%98%EC%81%A8","환경부 2018 우수환경도서 선정!  당신의 봄날은 안녕하십니까? ‘침묵의 살인자’ 미세먼지가 찾아온다    오늘 아침 기상캐스터는 분명 “맑고 따뜻한 봄날”을 예보했다. 그러나 창밖은 희뿌옇고 대기는 고요하다. 그렇게 속절없이 오늘도 미세먼지 농도는 ‘PM10 매우 나쁨’을 가리킨다. 이 작고도 잔인한 물질로부터 간신히 나를 방어할 전용 마스크부터 챙겼다. 탁한 거리 한 가운데에서 마스크를 쓰고 있는 나는 이방인이 되고 만다. 드물게 마스크 착용자가 보일 때면 서글픈 동지애가 느껴졌다. 맨 얼굴로 뽀얗게 웃고 있는 아기가 보일 때면 어처구니없는 분노까지 느껴졌다. 좁디좁은 마스크 속의 호흡보다도 더 답답한 것은, 수년째 대책 없이 반복되고 있는 지독한 잿빛 오염과 그 위험 속에 끝없이 방치된 현실 사이에서 느껴지는 괴리감이다. 계절과 상관없이 찾아오는 이 잿빛 호흡의 정체는 무엇일까? 그 원인은 무엇이며, 우리는 어떻게 대처해야 하는 걸까?  - 저자의 한마디 중에서 ","https://image.aladin.co.kr/product/14428/71/coversum/s172635287_1.jpg","9791160801347","2018년 지금, 미세먼지가 우리의 일상을 바꾸고 있다. 세계보건기구(WHO)는 미세먼지를 1군 발암물질로 규정했다. 수도권에서는 미세먼지 비상저감조치가 발령되었으며, 프로야구 경기가 취소되고, 24시간 가동되는 공기청정기는 이제 필수품이 되어가고 있다.","51315","국내도서>과학>지구과학>지구"
"10대의 뇌","프랜시스 젠슨;에이미 엘리스 넛 [공]지음; 김성훈 옮김","웅진지식하우스:웅진씽크빅","2018","자료실","9788901228761 ","10대의 뇌","프랜시스 젠슨, 에이미 엘리스 넛","김성훈","9788901228761.0","웅진지식하우스","2018-12-28","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F4850883%3Ftimestamp%3D20241216130558","https://search.daum.net/search?w=bookpage&bookId=4850883&q=10%EB%8C%80%EC%9D%98+%EB%87%8C","펜실베이니아대 의과대학 신경학과 교수 겸 학과장인 프랜시스 젠슨이 신생아에서 성인에 이르기까지 인간의 뇌 발달을 연구하고, 뇌과학의 이해와 신경학의 임상 경험을 기반으로 쓴 10대의 뇌에 관한 바이블 『10대의 뇌』. 오랫동안 과학자들은 청소년의 뇌가 성인의 뇌와 다르지 않다고 믿었지만 신경학과 신경과학에서는 10대가 뇌 성장에 대단히 중요한 시기이며, 이때 결정적인 변화가 일어난다는 사실을 지난 10년 동안 밝혀냈고, 그 최전선에 있는 학자가 바로 저자 프랜시스 젠슨이다.    저자는 이 책에서 15장에 걸쳐 인간의 뇌가 어떤 발달 과정을 거치는지, 10대가 된다는 것이 뇌과학적으로 어떤 의미인지, 10대가 반항하고 욕망하고 좌절과 고민에 휩싸일 때 그들의 뇌에서 무슨 일이 벌어지는지, 그리고 그들은 왜 그런 행동을 할 수밖에 없는지를 학습, 수면, 흡연, 음주, 스트레스, 스마트폰, 성별 등의 이슈들을 중심으로 소개한다. 또 10대에 대해 흔히들 믿고 있는 미신과도 같은 오해를 바로잡고 부모와 10대에게 실용적인 충고가 되어줄 통찰을 전한다. ","https://image.aladin.co.kr/product/17729/47/coversum/8901228769_1.jpg","9788901228761","오랫동안 과학자들은 청소년의 뇌가 성인의 뇌와 다르지 않다고 믿었다. 하지만 신경학과 신경과학에서는 10대가 뇌 성장에 대단히 중요한 시기이며, 이때 결정적인 변화가 일어난다는 사실을 지난 10년 동안 밝혀냈다. 그 최전선에 있는 학자가 바로 저자 프랜시스 젠슨 박사다. 책 전반에 걸쳐 젠슨은 10대들이 외계인이 아니라 다만 제대로 이해되지 못한 존재일 뿐임을 강조하며, 아이들조차 자신의 변덕스러운 도구인 뇌 때문에 어리둥절해 있음을 알아야 한다고 말한다.","51194","국내도서>과학>뇌과학>뇌과학 일반"
"델리에서 가장 아름다운 손","미카엘 베리스트란드 지음; 이승재 옮김","문학수첩","2018","자료실","9788983927088 ","델리에서 가장 아름다운 손","미카엘 베리스트란드","이승재","9788983927088.0","문학수첩","2018-07-27","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1176431%3Ftimestamp%3D20220702165700","https://search.daum.net/search?w=bookpage&bookId=1176431&q=%EB%8D%B8%EB%A6%AC%EC%97%90%EC%84%9C+%EA%B0%80%EC%9E%A5+%EC%95%84%EB%A6%84%EB%8B%A4%EC%9A%B4+%EC%86%90","하루 평균 2시간 33분. 업무 시간을 도둑질해 축구 팀 인터넷 사이트를 들락거렸다는 이유로 하루아침에 실직자 신세가 된 52세 이혼남 예란 보리. 명색이 20년차 카피라이터지만 대책 없이 혈혈단신이 되어버린 그로서는 살길이 막막하다. 절망감을 떨쳐내는 방법이라고는 벤앤제리스 아이스크림 통을 끼고 앉아 헤어진 전 부인 미아를 그리워하는 일뿐. ‘미련 터지는’ 그를 구원해줄 행운의 동아줄은 눈을 씻고 찾아도 없다. 실낱같은 희망조차 보이지 않아 허우적거리는 가운데 고교 시절의 절친 에리크는 예란을 인도 여행길로 이끈다. 에리크가 인솔하는 여행사의 이름은 다름 아닌 ‘인크레더블 인디아’! 과연, 그 이름대로 제약 없고 한계 없는 인도에서 평범한 한 남자의 인생에 지각변동이 일어나기 시작하는데……. 무능한 실직자에서 유능한 프리랜스 기자로, 궁상맞은 이혼남에서 매력적인 사랑꾼으로! 개성이라고는 ‘1’도 찾아볼 수 없는 50대 ‘아재’의 기적적인 변신이 이루어진다. 실패자로 낙인찍힌 예란 보리의 인생에 일어나는 놀라운 반전! 과연, 인도는 그에게 무슨 ‘짓’을 한 걸까? ","https://image.aladin.co.kr/product/15726/35/coversum/8983927089_1.jpg","9788983927088","인도 특파원 출신 기자이자 작가인 미카엘 베리스트란드가 &lt;델리에서 가장 아름다운 손&gt;으로 스웨덴을 뜨겁게 달궜다. 인도에 거주하며 관광 가이드로도 활동하는 기자답게 현지의 생동감과 현실감을 생생히 살린 이 소설은 2011년 출간되어 전 세계 독자들에게 본격적으로 이름을 알렸다.","51032","국내도서>소설/시/희곡>세계의 소설>북유럽소설"
"시로 납치하다","류시화 지음","더숲","2018","자료실","9791186900420 ","시로 납치하다","류시화, 루이즈 글릭","","9791186900420.0","더숲","2018-01-14","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1645065%3Ftimestamp%3D20250327113227","https://search.daum.net/search?w=bookpage&bookId=1645065&q=%EC%8B%9C%EB%A1%9C+%EB%82%A9%EC%B9%98%ED%95%98%EB%8B%A4","‘내가 만약 시인이라면 당신을 시로 납치할 거야. 시어와 운율로 당신을 사로잡고, 제비꽃으로 당신을 노래하고, 이마에서 녹는 눈으로 당신의 감정을 위로하고, 내 시를 완성하기 위해 바람 부는 해변에 당신을 혼자 서 있게 할 거야. 당신의 이름을 시에 쓸 때마다 행갈이를 할 거야…’  이 시집을 펼쳐 읽는 순간 조심해야 한다. 노벨 문학상 수상 시인부터 프랑스의 무명 시인, 아일랜드의 음유시인, 노르웨이의 농부 시인과 일본의 동시 작가가 당신을 유혹할 것이다. 그럼 당신은 시의 해변에서 홀로 비를 맞아야 하고, 감정의 파도로 운을 맞추며 시의 행간을 서성여야 할 것이다. 그리고 시인들의 물음에 답해야 한다. 인생은 물음을 던지는 만큼만 살아지기 때문이다. 시인들은 우리에게 말한다. ‘시인이 될 수 없다면 시처럼 살라.’고.  마음의 무늬를 표현하기 위해 전 세계 시인들이 수없이 고쳐 쓴 시들. 몇 번을 다시 읽어도 새롭게 다가오는 시들의 향연이 펼쳐진다. 투명한 감성과 인간에 대한 따뜻한 시선이 담긴 좋은 시 모음집이다. 『지금 알고 있는 걸 그때도 알았더라면』과 『사랑하라 한번도 상처받지 않은 것처럼』에 이은 새로운 인생 처방 시집. 류시화 시인의 해설과 함께 페이스북과 트위터에서 5년 동안 ‘아침의 시’라는 제목으로 많은 독자들의 아침을 깨운 시들을 모았다. ","https://image.aladin.co.kr/product/12846/27/coversum/k392532080_1.jpg","9791186900420","인생학교에서 시 읽기 1권. 노벨 문학상 수상 시인부터 프랑스의 무명 시인, 아일랜드의 음유시인, 노르웨이의 농부 시인과 일본의 동시 작가의 좋은 시들을 모았다. 마음의 무늬를 표현하기 위해 전 세계 시인들이 수없이 고쳐 쓴 시들. 몇 번을 다시 읽어도 새롭게 다가오는 시들의 향연이 펼쳐진다.","51168","국내도서>소설/시/희곡>시>외국시"
"내가 아무것도 아닐까 봐","박상아 지음","파우제:쎄듀","2018","자료실","9791196090463 ","내가 아무것도 아닐까 봐","박상아","","9791196090463.0","파우제","2018-09-07","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F3755343%3Ftimestamp%3D20240822113307","https://search.daum.net/search?w=bookpage&bookId=3755343&q=%EB%82%B4%EA%B0%80+%EC%95%84%EB%AC%B4%EA%B2%83%EB%8F%84+%EC%95%84%EB%8B%90%EA%B9%8C+%EB%B4%90","숨 막히는 대중교통 출퇴근길과 누군가의 화받이로 전락한 직장생활 속에서도 ‘나는 중요한 사람’이란 착각으로 버텨낸다. 광대처럼 웃으며 실제 감정은 뒤로 미뤄놓은 채 ‘이 정도면 괜찮은 인생’이라며 자기 최면을 건다. 스스로에게 혹은 가족에게 창피한 삶이 되지 않기 위해서, 사람 구실 정도는 하는 어른이 되기 위해서. 그렇게 우리는 매일의 삶을 그리도 촘촘히 엮어 짜내고 있다. 정작 가장 중요한 자신의 감정은 빼놓고서 말이다. “참 다소곳하고 여성스럽네요.”라는 능란한 갑의 횡포에 길들여진 사회생활, 아티스트라는 꿈 대신 선택한 광고 아트디렉터라는 생업, 믿음을 져버린 연인 때문에 미래의 가능성까지 거세된 사랑……. 그 모든 것이 다 원인이자, 그 어떤 것도 직접적인 원인이라 단정 지을 수 없이 찾아온 마음의 병. 『내가 아무것도 아닐까 봐』의 저자 박상아는 어느 날 느닷없이 찾아온 공황장애를 안고 살아온 지 6년이 되었다. 누구나 겪는 스트레스 때문에 숨이 막히는 것이라고 생각했고, 점심에 먹은 것이 잘못되어 헛구역질 나는 줄 알았다. 그러다 의지와는 별개로 자신의 몸이 도마 위 횟감처럼 고통스럽게 펄떡대는 경험을 하고서야 그녀는 자신의 삶이 송두리째 뒤집힐 만큼 심각한 문제가 있음을 깨달았다. 6년 동안 그녀는 정신과 폐쇄 병동 입·퇴원을 반복했고, 정상인의 삶과 공황 상태의 삶에 발 하나씩을 담가 부자연스럽고 아슬아슬한 일상을 이어가고 있다. 그러면서 글이라는 형태로 자신의 감정과 마주하는 연습을 하기 시작했다. 이 책은 그렇게 공황을 겪고 있는 저자가 스스로를 위해 기록한 것이자, 그녀처럼 바쁘다는 핑계로 자기 마음을 별것 아닌 듯 대하는 이들을 위한 이야기다. 옹알이로 말을 배우듯 감정을 공부해나가는 그녀는, 늦었지만 더 절박하게 자신의 마음과 생각을 언어화했다. 그런 만큼 자기과시나 인위적인 꾸밈이 걸러진 문장 하나하나에 바쁜 도시를 살아가며 아파본 자의 밀도 높은 감정들이 꽉 들어차 있다. 또한 그림에 꿈이 있던 만큼 한눈에 사로잡는 저자의 일러스트는 그녀가 겪고 있는 아픔에 독자들이 더 몰입하게 만든다. 스스로의 마음을 돌보지 못한 후회와, 그 누구라도 그렇듯 아직은 결론 없는 삶에 대한 희망이 공존한다. ","https://image.aladin.co.kr/product/16446/26/coversum/k312533646_1.jpg","9791196090463","박상아 에세이 &lt;내가 아무것도 아닐까 봐&gt;. 저자는 어느 날 느닷없이 찾아온 공황장애를 안고 살아온 지 6년이 되었다. 이 책은 공황을 겪고 있는 저자가 스스로를 위해 기록한 것이자, 그녀처럼 바쁘다는 핑계로 자기 마음을 별것 아닌 듯 대하는 이들을 위한 이야기다.","51371","국내도서>에세이>한국에세이"
"퇴근길엔 카프카를","의외의사실 글·그림","민음사","2018","자료실","9788937438004 ","퇴근길엔 카프카를","의외의사실","","9788937438004.0","민음사","2018-08-31","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F3750564%3Ftimestamp%3D20250306114033","https://search.daum.net/search?w=bookpage&bookId=3750564&q=%ED%87%B4%EA%B7%BC%EA%B8%B8%EC%97%94+%EC%B9%B4%ED%94%84%EC%B9%B4%EB%A5%BC","만화로 읽는 열세 편의 인생 고전 에세이 『퇴근길엔 카프카를』. 셰익스피어부터 카프카를 지나 하루키까지, 단순하고 사랑스러운 그림체로 이름을 알린 웹툰 작가 의외의사실이 2015년부터 2016년까지 민음사 블로그에서 연재한 웹툰 ‘의외의사실의 세계 문학 읽기’를 엮은 것으로, 여기에 2017년 노벨상 수상 작가 가즈오 이시구로의 대표작 《나를 보내지 마》를 더했다.    각 작품에 대한 이야기, 가장 아름다운 대목을 골라 그림을 덧붙인 ‘이 장면’, 그리고 작가 이야기까지 세 부분으로 나누어 구성하였다. 여섯 편의 작품에는 작가와 그 주변의 인물 관계도를 추가해 그 시대의 흐름 속에서 작가의 활약을 한눈에 파악할 수 있도록 했다. 작품의 중요한 포인트를 모두 짚어 주면서도 여백이 많고 편안한 그림체에, 일기를 몰래 보는 듯한 손글씨의 매력을 더해 언제 어디서나 쉽게 펼쳐들고 싶은 고전의 매력을 전한다. ","https://image.aladin.co.kr/product/16644/32/coversum/8937438003_1.jpg","9788937438004","세계문학전집을 통해 국내에 세계적인 고전 문학 작품을 소개하는 데 앞장서 온 민음사가 출간한 만화로 읽는 세계 문학 에세이. 셰익스피어부터 카프카를 지나 하루키까지, 누구나 한 번 쯤 들어봤지만 그 진가를 알지 못하는 세계 고전을 꼽아 그 명장면을 만화로 소개한다.","51376","국내도서>에세이>사진/그림 에세이"
"69세","임선애 지음","소시민워크","2020","자료실","9791188773046 ","나는 콩밭에서 태어난 별","손판이","","9791196572754.0","마중가","2020-11-13","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5587057%3Ftimestamp%3D20240808150542","https://search.daum.net/search?w=bookpage&bookId=5587057&q=%EB%82%98%EB%8A%94+%EC%BD%A9%EB%B0%AD%EC%97%90%EC%84%9C+%ED%83%9C%EC%96%B4%EB%82%9C+%EB%B3%84","『나는 콩밭에서 태어난 별』은 〈세상에서 하나밖에 없는 이름 '손판이'〉, 〈아버지 몰래 나는 먼곳으로 보내진다〉, 〈소죽에 불 때고 양동이에 물 이고〉, 〈동네 사람들은 나보고 천사라고 한다〉, 〈부산 국제시장에서 사촌 언니가 양말 장사를 하는데〉, 〈벙어리인 줄도 모르고〉등 주옥같은 작품을 만나볼 수 있는 책이다.","","","","",""
"(The)giver 워크북","로이스 로리 지음; 김보경,유난영,이수영 공책임편집","롱테일북스","2017(4쇄)","자료실","9788956054919 ","The Giver(더기버) 기억전달자","로이스 로리","","9791191343861.0","롱테일북스","2022-09-19","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6204512%3Ftimestamp%3D20250313154449","https://search.daum.net/search?w=bookpage&bookId=6204512&q=The+Giver%28%EB%8D%94%EA%B8%B0%EB%B2%84%29+%EA%B8%B0%EC%96%B5%EC%A0%84%EB%8B%AC%EC%9E%90","이 책은 모두 똑같이 행복한 삶을 살기 위해 감정과 기억이 철저히 통제된 유토피아 사회에서 유일하게 감정을 느끼게 되는 소년의 이야기를 다룬, 청소년 소설로는 극히 드문 공상 과학적인 독특한 소재를 담고 있으며 한 번 들면 마지막까지 책을 놓지 못하게 만드는 흡인력과 탄탄한 구성력이 돋보이는 소설입니다.  전 세계 530만부 이상 판매된 이 책은, 국내에서도 원서 독자가 극히 드물던 10년 전부터 읽기 좋은 원서로 입소문을 타기 시작해 지금은 원서읽기를 시작하면 한번쯤은 반드시 거치는 필독서로 자리 잡았으며, 국제중·특목고 등에서 추천도서에 가장 많은 오르는 책이기도 합니다.  뉴베리 상(Newbery Award)이란? 그리고 「뉴베리 컬렉션」이란?  뉴베리 상(Newbery Award)은 미국 도서관 협회에서 해마다 미국 아동 문학 발전에 가장 크게 이바지한 작가에게 수여하는 아동 문학상입니다. 1922년에 시작된 이 상은 ‘아동도서계의 노벨상’이라 불릴 만큼 최고의 권위와 역사를 자랑하고 있습니다. 그 역사와 권위만큼이나 심사기준이 까다롭기로 유명한데, 심사단은 책의 주제의식은 물론 정보의 깊이와 스토리의 정교함, 캐릭터와 문체의 적정성 등을 꼼꼼히 평가하여 수상작을 결정합니다.  뉴베리 수상작들은 ‘검증받은 원서’로 국내 영어 학습자들에게 큰 사랑을 받고 있습니다. 뉴베리 수상작은 어렵지 않은 어휘를 사용하면서도 ‘문학상’을 수상한 만큼 문장의 깊이가 상당하며, 깊이 있는 문장으로 초등 고학년부터 성인까지, 영어 초보자부터 실력자까지 모든 영어 학습자들이 읽기에 좋아 영어 공부에 탁월한 교재로 인정받고 있습니다.  이러한 이유로 뉴베리 수상작은 강남에서는 엄마표 영어 교재로, 국제중·특목고에서는 입시 필독서로, 대학교에서는 영어 강독 교과서로, 다양하고 폭넓게 활용되고 있습니다. 또한 대부분의 수상 작품들이 한글 번역판보다 오히려 원서의 판매가 훨씬 높은 기현상을 일으키고 있습니다.  롱테일북스에서 출간되는 「뉴베리 컬렉션」은 뉴베리 수상 작품, 그리고 뉴베리 수상 작가의 유명 작품 중에서 한국의 영어 학습에 적합한 작품들을 엄선하여 맞춤형 어학 교재로 재탄생시킨 영어원서 읽기 시리즈입니다.  **  -이 책의 구성  「뉴베리 컬렉션」은 뉴베리 메달 및 아너 수상작, 그리고 뉴베리 수상 작가의 유명 작품들을 엄선하여 한국 영어 학습자들을 위한 최적의 교재로 재탄생시킨 영어원서 읽기 시리즈입니다. 1. 영어 수준과 문장 난이도, 분량 등 국내 영어 학습자들에게 적합한 정도를 종합적으로 검토하여 선정하였습니다. 2. 기존 원서 독자들의 인기도까지 감안하여 최적의 작품들을 선별하였습니다. 3. 판형이 좁고 글씨가 작아 읽기 힘들었던 원서 디자인을 대폭 수정하여, 판형을 시원하게 키우고 최적화된 영문 서체를 사용하여 가독성을 극대화하였습니다. 4. 함께 제공되는 워크북은 어려운 어휘를 완벽하게 정리하고 이해력을 점검하는 퀴즈...를 덧붙여 독자들이 원서를 보다 쉽고 재미있게 읽을 수 있도록 구성하였습니다. 5. 기존에 높은 가격에 판매되어 구하기 쉽지 않았던 오디오북까지 부록으로 제 공하여 리스닝과 소리 내어 읽기에까지 원서를 두루 활용할 수 있도록 했습니다.","https://image.aladin.co.kr/product/30367/46/coversum/k432839756_2.jpg","9791191343861","모두 똑같이 행복한 삶을 살기 위해 감정과 기억이 철저히 통제된 유토피아 사회에서 유일하게 감정을 느끼게 되는 소년의 이야기를 다룬, 청소년 소설로는 극히 드문 공상 과학적인 독특한 소재를 담고 있으며 한 번 들면 마지막까지 책을 놓지 못하게 만드는 흡인력과 탄탄한 구성력이 돋보이는 소설이다.","49835","국내도서>외국어>영어독해"
