"자료명","저자","출판사","출판년도","소장처","제목","번역자","ISBN","출간일","썸네일","URL","책소개"
"(캠벨) 생명과학. 2: 6~8단원","","","2022","자료실","","","","","","",""
"The giver","로이스 로리","Houghton Mifflin Harcourt (HMH","1993","신착도서","The Giver","","0544442202 9780544442207","2014-07-01","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F3228770%3Ftimestamp%3D20250208113721","https://search.daum.net/search?w=bookpage&bookId=3228770&q=The+Giver","The Giver, the 1994 Newbery Medal winner, has become one of the most influential novels of our time. The haunting story centers on twelve-year-old Jonas, who lives in a seemingly ideal, if colorless, world of conformity and contentment. Not until he is given his life assignment as the Receiver of Memory does he begin to understand the dark, complex secrets behind his fragile community. Lois Lowry has written three companion novels to The Giver, including Gathering Blue, Messenger, and Son."
"Holes","루이스 새커","Yearling Books","2023","신착도서","Holes (1999 Newbery Winner)","","0440414806 9780440414803","2000-05-09","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1726889%3Ftimestamp%3D20250214113744","https://search.daum.net/search?w=bookpage&bookId=1726889&q=Holes+%281999+Newbery+Winner%29","Stanley Yelnats is under a curse. A curse that began with his no-good-dirty-rotten-pig-stealing great-great-gandfather and has since followed generations of Yelnats. Now Stanley has been unjustly sent to a boy's detention center, Camp Green Lake, where the boys build character by spending all day, every day, digging holes exactly five feet wide and five feet deep. There is no lake at Camp Green Lake. But there are an awful lot of holes. It doesn't take long for Stanley to realize there's more than character improvement going on at Camp Green Lake. The boys are dgging holes because the warden s looking for something. But what could be buried under a dried-up lake? Stanley tries to dig up the truth in this inventive and darkly humorous tale of crime and punishment-and redemption.  --- From the Publisher   This is Newbery Medal-winning book in 1999.   The Newbery Medal for Best Children's Book The Newbery Medal honors the year's most distinguished contribution to American literature for children. The medal was established in 1922 and is presented annually by the Association for Library Service to Children (ALSC), a division of the American Library Association (ALA). The recipient must be a citizen or resident of the United States."
"신을 죽인 여자들","클라우디아 피녜이로","푸른숲","2023","신착도서","신을 죽인 여자들","엄지영","1156754496 9791156754497","2023-12-15","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6512724%3Ftimestamp%3D20250222150634","https://search.daum.net/search?w=bookpage&bookId=6512724&q=%EC%8B%A0%EC%9D%84+%EC%A3%BD%EC%9D%B8+%EC%97%AC%EC%9E%90%EB%93%A4","보르헤스 이후 가장 많은 언어로 번역된 아르헨티나의 대표 작가 클라우디아 피녜이로의 대표작 《신을 죽인 여자들》이 푸른숲에서 출간되었다. 30년 전, 온몸이 토막 난 채 불에 탄 소녀를 둘러싼 비밀을 풀어나가는 이번 작품은 그해 가장 뛰어난 범죄소설에게 수여되는 대실해밋상을 만장일치로 수상하였다. 평론가들로부터 도스토옙스키, 레이먼드 카버와 비교되는 한편 “모든 것을 갖추고 있었다”는 극찬을 받았다. 또한 아마존 평점 4.4점, 굿리즈 평점 4.2점을 기록하는 등 독자들에게도 압도적인 호평을 받으며 작품성과 대중성을 모두 갖춘 작품임을 증명해냈다. 각자 다른 종교에 대한 신념으로 인해 붕괴되는 한 가족의 모습을 그린 《신을 죽인 여자들》은 클라우디아 피녜이로가 그간 천착해온 주제가 집대성되어 있는 작품이다. 사회의 압제가 여성을 어떻게 망가뜨리는지, 종교가 개인에게 어떤 합리화의 명분을 주는지, 맹목적 진실 추구가 어떤 결과를 낳는지 등 거장의 면모를 확인할 수 있다. 범죄 소설의 한계를 넘어 한 정점에 오른 걸작을 지금 확인해보자."
"알파폴드: AI 신약개발 혁신","남궁석","바이오스펙테이터","2024","신착도서","알파폴드: AI 신약개발 혁신","","1191768082 9791191768084","2024-03-11","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6578642%3Ftimestamp%3D20240915135105","https://search.daum.net/search?w=bookpage&bookId=6578642&q=%EC%95%8C%ED%8C%8C%ED%8F%B4%EB%93%9C%3A+AI+%EC%8B%A0%EC%95%BD%EA%B0%9C%EB%B0%9C+%ED%98%81%EC%8B%A0","바야흐로 인공지능의 시대다. 인공지능은 인류 문명을 다방면에서 바꿔 왔으며, 특히 생명과학계에 변혁을 불러왔다. 그 중심에 알파폴드(Alphafold)가 있다. 2018년 12월에 구글 딥마인드가 발표한 단백질 구조 예측 인공지능인 알파폴드는 첫 등장부터 놀라운 성과를 보여 주었고, 2020년에는 예측 정확도를 더욱 높이며 실험 구조와 매우 유사한 결과를 내놓았다. 현재 소스 코드가 공개된 알파폴드는 실험구조생물학자에게 필수 도구로 자리 잡으며 신약개발이나 단백질 디자인 등에서 새로운 방향을 제시해 주고 있다.  《알파폴드: AI 신약개발 혁신》은 단백질 발견부터 단백질 구조생물학 그리고 알파폴드의 등장에 이르는 100여 년의 연구 역사를 다룬다. 알파폴드가 얼마나 대단한지 이해하려면 단백질이 인체에서 중요한 역할을 한다는 것과 험난했던 단백질 구조 예측 과정을 알아야 한다. 알파폴드의 직접적인 토대는 수십 년 동안 과학자들의 노력으로 축적한 단백질 구조 및 서열 정보 같은 데이터다. 이 책은 단백질의 정체를 밝혀 온 수많은 과학자의 성과를 소개하며, 알파폴드가 불러온 구조생물학과 생명과학의 변화를 짚어 본다. 이 책을 통해 단백질 구조 예측 기술과 이를 통한 신약개발의 미래를 진단해 보자."
"맨큐의 경제학","그레고리 맨큐","한티에듀","2021","자료실","맨큐의 경제학","김경환","8962185024 9788962185027","2021-02-25","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5597921%3Ftimestamp%3D20250220145205","https://search.daum.net/search?w=bookpage&bookId=5597921&q=%EB%A7%A8%ED%81%90%EC%9D%98+%EA%B2%BD%EC%A0%9C%ED%95%99","『맨큐의 경제학』의 우리말 번역판 초판이 1999년 2월에 출간된 지 22년이 지났다. 그동안 『맨큐의 경제학』은 판을 거듭하면서 경제학 원론 교재로서뿐 아니라 경제학에 관심이 있는 일반 독자들의 입문서로도 분에 넘치는 사랑을 받아왔다. 무엇보다도 경제학의 기본 개념과 응용 사례를 명료하고 알기 쉽게 설명한 원서의 가치가 우리나라 독자들에게 제대로 전달되어 좋은 반응을 얻었다는 사실에 옮긴이로서 큰 기쁨과 보람을 느낀다.  『맨큐의 경제학』 번역판 초판이 아시아 외환 위기 직후에 기획되었는데, 2008년에 발발한 글로벌 금융 위기를 계기로 위기를 예측하지 못한 경제학자들과 경제학 자체의 무용론이 제기되기도 했다. 제9판이 출판되는 지금 전 세계는 2020년에 시작된 코로나 바이러스(COVID-19)의 거대한 충격에 대응하느라 부심하고 있다. 세상이 점점 더 복잡해지고 새로운 경제 현상과 그에 따른 정책접근이 대두됨에 따라 경제 현상과 정책에 대한 정확한 이해가 더 중요해지고 있다.  원서 제9판은 이전 판의 기본 골격을 유지하면서 일부 장의 설명을 보강하고 신문기사와 사례연구, 응용문제를 교체했다. 번역판은 이러한 변화를 최대한 소화했고, 부록인 우리나라 통계도 최근 자료로 보완했다. 이와 함께 본문을 전체적으로 재검토하여 보다 자연스러운 표현으로 다듬었다."
"호빗","J. R. R. 톨킨","씨앗을뿌리는사람","2021","자료실","호빗(The Hobbit)","이미애","895637225X 9788956372259","2012-12-21","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F732235%3Ftimestamp%3D20220318182709","https://search.daum.net/search?w=bookpage&bookId=732235&q=%ED%98%B8%EB%B9%97%28The+Hobbit%29","불평불만 난쟁이들과 소심한 호빗 빌보의 위험천만 모험 이야기 『호빗』. <반지의 제왕>의 서막에 해당하는 이야기이자, 판타지 문학의 J.R.R. 톨킨이 창조한 신화적 세계의 출발을 알리는 작품이다. <반지의 제왕>의 등장인물인 빌보가 반지를 얻게 되는 과정, 골룸과의 만남 등이 이 작품에 그려져 있다. 간달프, 소린과 난쟁이들, 엘론드의 이야기도 함께 등장한다.  절대반지의 출현, 그리고 불평불만 난쟁이들과 소심한 빌보의 유쾌한 모험담이 펼쳐진다. 모험을 좋아하지 않는 호빗 빌보의 집에 어느 날 난쟁이들과 간달프가 찾아온다. 그들은 무서운 용 스마우그가 지키고 있는 보물을 찾아 떠나자고 하고, 그때부터 빌보의 험난한 모험이 시작되는데……."
"반지의 제왕. 3: 왕의 귀환","J. R. R. 톨킨","씨앗을뿌리는사람","2021","자료실","반지의 제왕. 3: 왕의 귀환(양장본 HardCover)","김번","8956371830 9788956371832","2010-07-15","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F731294%3Ftimestamp%3D20191207122405","https://search.daum.net/search?w=bookpage&bookId=731294&q=%EB%B0%98%EC%A7%80%EC%9D%98+%EC%A0%9C%EC%99%95.+3%3A+%EC%99%95%EC%9D%98+%EA%B7%80%ED%99%98%28%EC%96%91%EC%9E%A5%EB%B3%B8+HardCover%29","세계 사람들의 마음을 '가운데땅'에 붙들어놓은 영문학자 J. R. R. 톨킨의『반지의 제왕』제3권 <왕의 귀환>. 영화로도 만들어져 세계 사람들의 마음을 사로잡은 장편소설 <반지의 제왕>을 앤틱하면서도 실용적으로 담아냈다. '가운데땅' 모든 종족의 운명을 결정지을 '절대반지'를 둘러싼 선과 악의 대결 속에서 인간 본원에 대한 근원적 메시지를 전달한다. 저자를 우리나라에 처음으로 소개한 번역자들이 다시 모여 <반지의 제왕> 특유의 요정어 등을 발음과 원칙에 충실하여 번역하였다. 특히 저자의 장대한 상상력을 선명하게 묘사한 존 하우와 앨런 리의 일러스트를 컬러로 담아내 <반지의 제왕>의 세계를 실감나게 이해하는 데 도움을 준다."
"반지의 제왕. 2: 두 개의 탑","J. R. R. 톨킨","씨앗을뿌리는사람","2021","자료실","반지의 제왕. 2: 두 개의 탑(개정판)(양장본 HardCover)","김번","8956371822 9788956371825","2010-06-25","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F732171%3Ftimestamp%3D20190124164024","https://search.daum.net/search?w=bookpage&bookId=732171&q=%EB%B0%98%EC%A7%80%EC%9D%98+%EC%A0%9C%EC%99%95.+2%3A+%EB%91%90+%EA%B0%9C%EC%9D%98+%ED%83%91%28%EA%B0%9C%EC%A0%95%ED%8C%90%29%28%EC%96%91%EC%9E%A5%EB%B3%B8+HardCover%29","세계 사람들의 마음을 '가운데땅'에 붙들어놓은 영문학자 J. R. R. 톨킨의『반지의 제왕』제3권 <두 개의 탑>. 영화로도 만들어져 세계 사람들의 마음을 사로잡은 장편소설 <반지의 제왕>을 앤틱하면서도 실용적으로 담아냈다. '가운데땅' 모든 종족의 운명을 결정지을 '절대반지'를 둘러싼 선과 악의 대결 속에서 인간 본원에 대한 근원적 메시지를 전달한다. 저자를 우리나라에 처음으로 소개한 번역자들이 다시 모여 <반지의 제왕> 특유의 요정어 등을 발음과 원칙에 충실하여 번역하였다. 특히 저자의 장대한 상상력을 선명하게 묘사한 존 하우와 앨런 리의 일러스트를 컬러로 담아내 <반지의 제왕>의 세계를 실감나게 이해하는 데 도움을 준다."
"반지의 제왕. 1: 반지원정대","J. R. R. 톨킨","씨앗을뿌리는사람","2021","자료실","반지의 제왕 1: 반지원정대","김번영","8956371814 9788956371818","2010-06-15","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F730632%3Ftimestamp%3D20230728194125","https://search.daum.net/search?w=bookpage&bookId=730632&q=%EB%B0%98%EC%A7%80%EC%9D%98+%EC%A0%9C%EC%99%95+1%3A+%EB%B0%98%EC%A7%80%EC%9B%90%EC%A0%95%EB%8C%80","세계 사람들의 마음을 '가운데땅'에 붙들어놓은 영문학자 J. R. R. 톨킨의『반지의 제왕』제1권 <반재원정대>. 영화로도 만들어져 세계 사람들의 마음을 사로잡은 장편소설 <반지의 제왕>을 앤틱하면서도 실용적으로 담아냈다. '가운데땅' 모든 종족의 운명을 결정지을 '절대반지'를 둘러싼 선과 악의 대결 속에서 인간 본원에 대한 근원적 메시지를 전달한다. 저자를 우리나라에 처음으로 소개한 번역자들이 다시 모여 <반지의 제왕> 특유의 요정어 등을 발음과 원칙에 충실하여 번역하였다. 특히 저자의 장대한 상상력을 선명하게 묘사한 존 하우와 앨런 리의 일러스트를 컬러로 담아내 <반지의 제왕>의 세계를 실감나게 이해하는 데 도움을 준다."
