자료명,저자,출판사,출판년도,소장처
르네상스인 김승옥,백문임[외 지음],앨피,2005,자료실
두 중국의 기원,전동현,서해문집,2005,자료실
말이 올라야 나라가 오른다. 2: 바르게 써야 할 우리말 310가지,권재일[등]지음.,한겨레신문사,2005,자료실
(남영신의)한국어용법 핸드북,남영신 지음,모멘토,2006,자료실
대중독재의 영웅 만들기,비교역사문화연구소 [지음];권형진;이종훈 [엮음],휴머니스트,2005,자료실
불우한 불후의 노래,김진희,새움,2005,자료실
금수회의록.공진회(외),안국선,범우사,2001,자료실
서로 따뜻하다,오창렬,황금알,2008,자료실
"철학,역사를 만나다",안광복 지음,웅진지식하우스,2005,자료실
철학과 현실. 75,철학문화연구소,철학문화연구소,2007,자료실
나는 이렇게 나이들고 싶다,소노아야코 지음;오경순 옮김,리수,2004,자료실
울트라마라톤 맨,딘 카르나제스 지음;공경희 옮김,해냄,2005,자료실
잘난영어비웃기,Phoebus; Phoebe,동화사,2007,자료실
smiles of the baby buddba,유홍준,changbi publishers.inc,19999,자료실
사람으로부터 편안해지는 법,소노 아야코 [지음] ; 오경순 [옮김],리수,2005,자료실
나의 문화유산답사기. 1: 남도답사 일번지,유홍준,창작과비평사,2001,자료실
누가 내 치즈를 옮겼을까?,"존슨, 스펜서",진명출판사,2000,자료실
저절로 연상영어 (하). 2,박순복,생각하는 오늘,2005,자료실
저절로 연상영어 (상). 1,박순복,생각하는 오늘,2005,자료실
일제 식민시대 구술실록,전주문화재단,전주문화재단,2007,자료실
옛우물,오정희,청아,1994,자료실
그 작고 하찮은 것들에 대한 애착,안도현,나무생각,1999,자료실
0과 무한의 과학,로저 펜로즈,뉴턴코리아,2007,자료실
어느 가슴엔들 시가 꽃피지 않으랴. 2. 2,문태준 [해설];잠산 [그림],민음사,2008,자료실
어느 가슴엔들 시가 꽃피지 않으랴. 1. 1,정끝별 [해설];권신아 [그림],민음사,2008,자료실
영어 구술논술 뛰어넘기,이슈&논술아카데미 편,이슈투데이,2005,자료실
나무 해설 도감,윤주복,진선출판사,2008,자료실
살아 있는 지구,앨러스테어 포더길;버네서 벌로위츠,궁리출판,2008,자료실
한국문화대사전 찾아보기,신기철,한국문화대사전간행위원회,2008,자료실
한국문화대사전 화보집,신기철,한국문화대사전간행위원회,2008,자료실
한국문화대사전. 8: 체지~힘줌도움줄기,신기철,한국문화대사전간행위원회,2008,자료실
한국문화대사전. 7: ㅈ~체조경기,신기철,한국문화대사전간행위원회,2008,자료실
한국문화대사전. 6: 연시계~잎숟가락,신기철,한국문화대사전간행위원회,2008,자료실
한국문화대사전. 5: 석장생~연시,신기철,한국ㅁㄴ화대사전간행위원회,2008,자료실
한국문화대사전. 4: 박씨부인전~석장,신기철,한국문화대사전간행위원회,2008,자료실
한국문화대사전. 2: 교시~다카마쓰총,신기철,한국문화대사전간행위원회,2008,자료실
한국문화대사전. 1: ㄱ~교술민요,신기철,한국문화대사전간행위원회,2008,자료실
꿈꾸는 너에게 불가능은 없다,김태광,굿 인포메이션,2008,자료실
"꼬레아,코리아",오인동,책과함께,2008,자료실
워렌 버핏 평전. 1. 1,앤드류 킬패트릭;안진환,윌북,2008,자료실
싸우는 물리학자,"다케우치,가오루",시공사,2008,자료실
율곡문답,김태완,역사비평사,2008,자료실
우리 기억은 진짜 기억일까?,엘리자베스 로프터스;캐서린 케첨 [지음];정준형[옮김],도솔,2008,자료실
(우주비행사가 들려주는)우주여행 설명서,마이크 멀레인;김범수,한승,2008,자료실
우리는 행복한가,이정전,한길사,2008,자료실
첨삭기술,배상복 [지음],중앙북스,2007,자료실
십팔사략. 10: 북송시대 남송시대,고우영 [지음],애니북스,2004,자료실
십팔사략. 09: 당(唐)의 흥망(興亡),고우영 지음,애니북스,2004,자료실
십팔사략. 08: 남북조시대(南北朝時代),고우영 지음,애니북스,2004,자료실
십팔사략. 07: 조조 유비 손권의 삼국시대(三國時代),고우영 지음,애니북스,2004,자료실
십팔사략. 06: 후한시대(後漢時代),고우영 지음,애니북스,2004,자료실
십팔사략. 05: 항우 유방의 초한전(楚漢戰),고우영 지음,애니북스,2004,자료실
십팔사략. 04: 시황제(始皇帝)의 천하통일(天下統一),고우영 지음,애니북스,2004,자료실
십팔사략. 03: 전국시대(戰國時代),고우영 지음,애니북스,2004,자료실
십팔사략. 02: 춘추시대(춘추시대),고우영 지음,애니북스,2004,자료실
십팔사략. 01: 삼황오제(三皇五帝)에서 서주(西周)까지,고우영 지음,애니북스,2004,자료실
한자 속에 숨어 있는 논술,이수석;현희문 지음,살림출판사,2007,자료실
설득의 심리학. 2. 2,로버트 치알디니;노아 골드스타인,21세기북스(북이십일),2008,자료실
"샬롬과 쌀람, 장벽에 가로막힌 평화",유재현,창비,2008,자료실
조선사 3대 논쟁,이재호,역사의아침(위즈덤하우스),2008,자료실
조선 지식인의 아름다운 문장,고전연구회 사암;한정주,포럼,2007,자료실
"제자백가, 사상을 논하다",신동준 지음,한길사,2007,자료실
(이PD의)뮤지컬 쇼쇼쇼,이지원 [글];강모림 [그림],삼성출판사,2008,자료실
풀위의 생명들,한나 홈스;안소연,지호,2008,자료실
바다생물 이름 풀이사전,박수현,지성사,2008,자료실
지성인을 위한 교양 브런치,강준만;정윤성,인물과사상사,2008,자료실
그린베레,로빈 무어;양욱,플래닛미디어,2008,자료실
그 길에서 나를 만나다,하페 케르켈링;박민숙,은행나무,2007,자료실
그래서 모두가 행복한 곳,캐런 크리스텐슨 지음;곽영미 옮김,나무 심는 사람,2006,자료실
무엇을 어떻게 쓸까,이오덕,보리,2007,자료실
무지개를 풀며,리처드 도킨스 [지음];최재천;김산하 [옮김],바다출판사,2008,자료실
독도 라이더가 간다,김영빈,샘터사,2008,자료실
동물의 감정,마크 베코프;김미옥,시그마북스,2008,자료실
만물의 척도:프랑스 혁명보다 위대한 미터법 혁명,켄 애틀러;임재서 옮김,사이언스 북스,2008,자료실
멍청한 수컷들의 위대한 사랑,마티 크럼프 지음;이충호 옮김,도솔,2007,자료실
벨칸토. 2,앤 패쳇 지음;김근희 옮김,민음 in,2006,자료실
벨칸토. 1,앤 패쳇 지음;김근희 옮김,민음in(황금가지),2006,자료실
교사 십계명,하정완,나눔사,2007,자료실
(단숨에 읽는)해적의 역사,한잉신;뤼팡,베이직북스,2008,자료실
달을 먹다,김진규,문학동네,2007,자료실
대한민국 행복지수,안치용,북스코프,2008,자료실
글 잘쓰는 기술,바바라 애버크롬비;이민주,브리즈,2008,자료실
인도 베다수학,손호성 저,아르고나인,2008,자료실
끌리고쏠리고들끓다,클레이 서키,갤리온,2008,자료실
공기 위를 걷는 사람들,가브리엘 워커;이충호,웅진지식하우스(웅진씽크빅),2008,자료실
(지도로 보는)중동 이야기,"고야마,시게키;박소영",이다미디어,2008,자료실
조선을 훔친 위험한 冊들,이민희,글항아리(문학동네),2008,자료실
독서교육과 자료의 활용,한윤옥 저,한국도서관협회,2008,자료실
뜨거운 지구에서 살아남는 유쾌한 생활습관 77,데이비드 드 로스차일드,추수밭,2008,자료실
렘브란트의 유령,폴 크리스토퍼;하현길,중앙북스,2008,자료실
로아나. 하,움베르토 에코 지음; 이세욱 옮김,열린책들,2008,자료실
로아나. 상,움베르토 에코 지음;이세욱 옮김,열린책들,2008,자료실
행복의 역사,대린 맥마흔;윤인숙,살림출판사,2008,자료실
긍정적으로 사는 즐거움,"소노,아야코",리수,2005,자료실
지식 e. 2,EBS지식채널e 지음,북하우스,2008,자료실
(조지 가모브의)즐거운 물리학,조지 가모브 지음;로베르트 외르터 엮음,한승,2007,자료실
청년의사 장기려,손홍규,다산책방(다산북스),2008,자료실
(직장인을 위한)생존 경제학,최성환 지음,원앤원북스,2006,자료실
"놀이,마르지 않는 창조의 샘",스티븐 나흐마노비치,에코의서재,2008,자료실
다산의 마음,정약용;박혜숙,돌베개,2008,자료실
(나를 찾는) 셀프 심리학,토니 험프리스,다산북스,2008,자료실
선생님으로 산다는 것,이석범,살림,2008,자료실
술취한 코끼리 길들이기,아잔 브라흐마,이레,2008,자료실
서양 문화사 깊이 읽기,박준철;오흥식,푸른역사,2008,자료실
서른 살이 심리학에게 묻다,김혜남,갤리온(웅진씽크빅),2008,자료실
NGO를 알면 세상이 보인다,박상필,한울,2007,자료실
황사 그 수수께끼를 풀다,"이와사카,야스노부",푸른길,2008,자료실
여행할 권리,김연수,창비,2008,자료실
(성석제의)농담하는 카메라,성석제,문학동네,2008,자료실
(김영하)여행자 도쿄,김영하 지음,아트북스,2008,자료실
교과서 시 정본 해설,이숭원,Human & Books,2008,자료실
"당신, 이라는 여행",황학주,랜덤하우스코리아,2008,자료실
외규장각 도서의 비밀. 2. 2,조완선,Human & Books,2008,자료실
외규장각 도서의 비밀. 1. 1,조완선,Human & Books,2008,자료실
(웃기는 수학자 이광연의)수학 블로그,이광연,살림Friends(살림출판사),2008,자료실
슐리만의 트로이 발굴기,마저리 브라이머;전하림,보물창고,2007,자료실
(과학이 밝히는)범죄의 재구성,박기원,살림Friends(살림출판사),2008,자료실
물은 답을 알고 있다,"에모토,마사루;홍성민",더난출판,2008,자료실
바이러스 도시,스티븐 존슨 지음;김명남 옮김,김영사,2008,자료실
문더스트,앤드루 스미스 지음;이명현;노태복 옮김,사이언스북스,2008,자료실
(민훈기의)메이저리그 메이저리거,민훈기,미래를 소유한 사람들,2008,자료실
타고난 반항아,프랭크 설로웨이 지음;정병선 옮김,사이언스 북스,2008,자료실
살았더라면,티에리 코엔;김민정,밝은 세상,2007,자료실
사파리 사이언스,조수영,효형출판,2008,자료실
X염색체의 복수,올리비에 포스텔비네이,기린원,2008,자료실
잊혀진 조상의 그림자,칼 세이건;앤 드루얀,사이언스 북스,2008,자료실
(온 가족이 함께 읽는)중국 역사이야기. 4. 4,박덕규,일송북,2008,자료실
(온 가족이 함께 읽는)중국 역사이야기. 3. 3,박덕규,일송북,2008,자료실
(온 가족이 함께 읽는)중국 역사이야기. 2,박덕규,일송북,2008,자료실
(온 가족이 함께 읽는)중국 역사이야기. 1,박덕규,일송북,2008,자료실
정겨운 풍속화는 무엇을 말해줄까,이주헌,다섯수레,2008,자료실
과학 교과서 속에 숨어 있는 논술,나정민,살림출판사,2007,자료실
詩로 읽는 세상,김용찬 저,이슈투데이,2002,자료실
오스만 제국사,도널드 쿼터트,사계절,2008,자료실
"(우리 몸 살리는 천연 미네랄)소금, 이야기",함경식;정종희,동아일보,2008,자료실
新 지식의 최전선. 4. 4,이우경;강봉균,한길사,2008,자료실
新 지식의 최전선. 3. 3,조효제;강명섭,한길사,2008,자료실
(세계적 미래학자 10인이 말하는)미래 혁명,신지은;박정훈 외,일송북,2007,자료실
(존 비비어의)관계,존 비비어,NCD,2008,자료실
표현의능력,강준민[지음],두란노,2008,자료실
쓸쓸한 밤길,"최시한, 최배은",문학과지성사,2007,자료실
스타트렉의 물리학,로렌스 M 크라우스 지음,영림카디널,2008,자료실
(자녀의 인생을 형통케 하는) 자녀 축복 기도문,구유선 [외] 지음,청우,2005,자료실
자아가 자아를 엿보다,송인규,생명의말씀사,2008,자료실
한글,김영욱,루덴스,2007,자료실
헤르메스의친절한통합논술. 9: 개인과 정치,헤르메스 지음,랜덤하우스,2007,자료실
헤르메스의친절한통합논술. 8: 현대사회의문제,헤르메스 지음,랜덤하우스,2007,자료실
헤르메스의 친절한 통합논술. 7: 과학과 문명,헤르메스,랜덤하우스,2007,자료실
헤르메스의 친절한 통합 논술. 6: 역사와 이데올로기,헤르메스,랜덤하우스,2007,자료실
헤르메스의 친절한 통합 논술. 5: 창의적 글쓰기,헤르메스,랜덤하우스,2007,자료실
헤르메스의 친절한 통합 논술. 4: 통합적 읽기,헤르메스,랜덤하우스,2007,자료실
(헤르메스의)친절한 통합논술. 3: 세계화와 다양성,헤르메스 편,랜덤하우스코리아,2006,자료실
(헤르메스의)친절한 통합논술. 2: 정보와 미래,헤르메스 지음,랜덤하우스코리아,2006,자료실
(헤르메스의)친절한 통합논술. 1: 사회와 문화,헤르메스 지음,랜덤하우스코리아,2006,자료실
마지막 강의,랜디 포시;제프리 재슬로,살림출판사,2008,자료실
생물과 무생물 사이,"후쿠오카,신이치;김소연",은행나무,2008,자료실
살인단백질 이야기,D.T.맥스;강병철,김영사,2008,자료실
(하리하라의)과학고전 카페. 2,이은희 지음,문학동네,2008,자료실
(하리하라의)과학고전 카페. 1,이은희 지음,문학동네,2008,자료실
호모 엑세페르투스,이한음 지음,효형출판,2007,자료실
혀,조경란,문학동네,2007,자료실
DNA 딜레마,조너던 와이너;박미경,이끌리오,2008,자료실
황우석 신화와 대한민국 과학,김근배 지음,역사비평사,2007,자료실
세계 역사의 관찰,야코프 부르크하르트;안인희,휴머니스트,2008,자료실
시시콜콜 Science Book(시시콜콜 사이언스 북),믹 오헤어;장석봉,이마고,2008,자료실
"우주에서, 이소연입니다",김호진,샘터사,2008,자료실
지구 반대편을 여행하는 법,정준수,플럼북스,2008,자료실
레인보우 동경,김경주;문봉섭,넥서스Books,2008,자료실
혼자일 때 그곳에 간다,박상우,시작(웅진씽크빅),2008,자료실
제국의 뒷길을 걷다,김인숙,문학동네,2008,자료실
그늘의 발달,문태준,문학과지성사,2008,자료실
가이아의 복수,제임스 러브록,세종서적,1992,자료실
29개의 키워드로 읽는 한국문화의 지형도,김기봉 [외지음],한국출판마케팅연구소,2007,자료실
(네가 어떤 삶을 살든)나는 너를 응원할 것이다,공지영,오픈하우스,2008,자료실
"스무살, 도쿄","오쿠다,히데오;양윤옥",은행나무,2008,자료실
공자와 천하를 논하다,신동준 지음,한길사,2007,자료실
견디지 않아도 괜찮아,박원순;신희섭,샘터사,2008,자료실
지구는 푸른빛 이었다,유리 알렉세예비치 가가린;김장호,갈라파고스,2008,자료실
푸른학교 바른교육,최규호,두인,2004,자료실
(8개 국어로 엮은)반만년의 숨결!,오교성 ; 배점모 ; 장영 [공저],아사히,2003,자료실
소설 동의보감. 下. 3,이은성,창작과비평사,1991,자료실
전신 조훈현,조훈현;김종서 [공]지음,청년사,2004,자료실
대금산조 창시자 박종기 평전,이진원,민속원,2007,자료실
과학으로 맛있는 직업 따라하기,한국여성과학기술단체총연합회,경문사,2007,자료실
(전자 화학 산업의 선구자)연암 구인회,유영수;대한상공회의소,소담출판사,2007,자료실
(한국 경제의 신화)아산 정주영,유영수;대한상공회의소,소담출판사,2007,자료실
(기업가 정신의 실천적 선각자) 연강 박두병,유영수,소담출판사,2007,자료실
